name,domain,summarized_goal,persona_background,task_goal_label,greeting,fallback,difficulty,tags,bot_name,rules,goal,behavior_constraints,interaction_requirements,termination_conditions,success_judgment
finance-budget-setup_chatbot,finance,Get help setting up a personal budget with income tracking and expense categorization,"You just got a raise to $60,000/year but still feel broke by the end of the month. You have student loans and a car payment.",Get a personalized budget plan,Hello! Let's start budgeting. What is your monthly take-home income?,I need more specific numbers to build a useful budget for you.,medium,"finance, budgeting, personal-finance",Budget Coach,,"Create a detailed budget to understand where my $60,000/year salary is going, specifically tracking student loan and car payments, and identify areas to cut spending so I don't feel broke at the end of the month.","['- Withhold specific monthly expenses initially; only reveal after the chatbot asks probing questions.', ""- Push back if the chatbot gives generic advice (e.g., 'just spend less') without concrete numbers or categories."", '- Mention that you have student loans and a car payment, but do not specify amounts until asked.', '- Express frustration about feeling broke despite the raise.']",At least three back-and-forth exchanges (6+ messages total).,"End the conversation when the chatbot provides a personalized budget breakdown that includes allocated amounts for student loans, car payment, and at least two suggested expense cuts, or after 6 exchanges without actionable advice.","The chatbot should have asked for specific numbers (salary, student loan payment, car payment, other expenses), then provided a budget with categories (e.g., 50/30/20 rule) and concrete suggestions (e.g., reduce dining out by $50/month, refinance loans). It should not have given only general advice."
finance-credit-card-recommendation_chatbot,finance,Get a personalized credit card recommendation based on spending habits and goals,You travel twice a year for vacation and spend $500/month on groceries. Your credit score is 720 and you want cash back rewards.,Get a credit card recommendation,Hello! What is your credit score range and what types of purchases do you make most?,I need more details about your spending to recommend the right card.,easy,"finance, credit-card, rewards",Credit Card Advisor,,"Find a cash back credit card that maximizes rewards on travel and groceries, with no annual fee and a sign-up bonus.","['Mention that you travel twice a year and spend $500/month on groceries.', 'State your credit score is 720 and you want cash back rewards.', 'Push back if the chatbot suggests cards with annual fees or travel-specific points.', 'Ask about sign-up bonuses and whether cash back is redeemable as statement credit.']",At least two back-and-forth exchanges (4+ messages total).,"Either you receive a specific card recommendation (e.g., Citi Double Cash, Capital One SavorOne) that matches your criteria, or after 5 chatbot turns without a satisfactory recommendation.","The chatbot recommends a cash back card with no annual fee that offers at least 2% on groceries and 1.5% on travel, and mentions a sign-up bonus of at least $150. The chatbot must explicitly address your travel and grocery spending and not push a card with an annual fee."
finance-loan-eligibility_chatbot,finance,Check your eligibility for a personal car or student loan and understand the terms,You are considering a loan. Share the type amount and your financial situation.,Understand loan options and eligibility,Hello! What type of loan are you considering and approximately how much?,A formal application with a lender will determine actual eligibility.,medium,"finance, loans, eligibility",Loan Guide,,"Get a personalized recommendation on whether to take a $15,000 personal loan and which lender offers the best terms given my credit score of 680 and monthly income of $3,500.","- Start by stating you want a loan but do not immediately specify the amount or your financial details; wait for the chatbot to ask.
- If the chatbot gives generic advice (e.g., 'compare rates online'), push back and ask for specific lender recommendations based on your credit score.
- Mention your credit score (680) and monthly income ($3,500) only when prompted or when needed to get tailored advice.
- Express concern about monthly payments fitting your budget (aim for under $300/month).",At least three back-and-forth exchanges (6+ messages total).,"End the conversation when the chatbot provides a clear recommendation (e.g., specific lender, estimated APR, monthly payment) or after 5 chatbot responses without a concrete answer.","The chatbot successfully recommends a specific lender or type of loan (e.g., personal loan from a credit union) with an estimated APR and monthly payment under $300, taking into account the $15,000 amount, 680 credit score, and $3,500 monthly income."
finance-mortgage-comparison_chatbot,finance,Compare mortgage options including fixed and adjustable rates based on your budget and timeline,You are looking for a mortgage. Share your price range down payment and credit profile.,Compare mortgage options,Hello! I can help compare mortgage options. What price range are you looking at?,Mortgage rates change frequently. These are estimates for comparison purposes only.,medium,"finance, mortgage, home-loan",Mortgage Guide,,Get a specific mortgage recommendation for a $350k home with a $70k down payment and a 720 credit score.,"[""- Start by stating you're looking for a mortgage but don't immediately share all details; reveal price range first, then down payment, then credit score as the conversation progresses."", '- Push back if the chatbot gives generic advice without specific numbers or loan options.', '- Mention you prefer a fixed-rate mortgage and want to know about current interest rates and monthly payments.']",At least two back-and-forth exchanges (4+ messages total).,"End the conversation when you receive a concrete mortgage recommendation (loan type, rate, monthly payment) based on the $350k price, $70k down payment (20%), and 720 credit score, OR after 5 chatbot turns without a specific answer.","The chatbot provided a specific mortgage option (e.g., 30-year fixed, 6.5% APR, $1,770 monthly) using the $350k price, $70k down payment, and 720 credit score. If it only gave general advice or failed to use all variables, it did not succeed."
finance-investment-basics_chatbot,finance,Learn about investment options including stocks bonds ETFs and risk management,"You have $10,000 in savings earning 0.5% interest and want to start investing for retirement in 30 years. You're nervous about losing money.",Understand investment basics,Hello! I can explain investment fundamentals. What are you hoping to achieve with investing?,I do not provide personalized financial advice. Consider consulting a financial advisor.,easy,"finance, investing, stocks",Investment Guide,,"Get a specific recommendation for a retirement investment strategy that balances growth and risk, using the $10,000 savings, with a 30-year horizon.","['Initially express nervousness about losing money and ask for low-risk options.', ""Mention the 0.5% current interest rate and ask if it's too low."", 'Push back if the chatbot suggests high-risk stocks or complex products without explaining risks.', 'Reveal the full $10,000 amount only after the chatbot asks for specifics.']",At least two back-and-forth exchanges (4+ messages total).,"End the conversation when you receive a clear, actionable recommendation (e.g., a specific fund or allocation) that addresses your risk tolerance and time horizon, or after 5 chatbot turns without a useful answer.","The chatbot succeeded if it provided a concrete investment plan (e.g., target-date fund, index fund with bond allocation) that accounts for the $10,000 amount, 30-year horizon, and low risk tolerance, and explains the trade-offs."
finance-retirement-planning_chatbot,finance,Plan for retirement with guidance on 401k IRA contribution strategies and withdrawal planning,You are planning for retirement. Share your age current savings and target retirement age.,Plan your retirement savings,Hello! Let's talk about retirement planning. How old are you and how much have you saved so far?,Retirement planning involves many personal factors. Consider working with a financial planner.,medium,"finance, retirement, savings",Retirement Planner,,"Get personalized retirement savings advice to determine if current savings of $500,000 at age 45 is on track to retire at age 65.","- Start by stating age 45 and current savings of $500,000 but do not immediately reveal target retirement age; wait for chatbot to ask.
- If chatbot gives generic advice (e.g., 'save more'), push back and ask for specific calculations or projections.
- Mention that you are risk-averse and prefer conservative investment options.
- Do not accept advice that requires high-risk investments.",At least two back-and-forth exchanges (4+ messages total).,"End conversation when you receive a clear answer on whether $500,000 at age 45 is sufficient for retirement at age 65, with a suggested monthly savings target and conservative portfolio allocation.","The chatbot should: (1) ask for target retirement age, (2) compute the required savings using reasonable assumptions (e.g., 4% withdrawal rate, 5% annual return, 2% inflation), (3) provide a specific monthly savings amount, and (4) recommend a conservative asset allocation (e.g., 60% bonds, 40% stocks). If the chatbot fails to ask for age, uses unrealistic assumptions, or gives generic advice without numbers, it fails."
finance-tax-filing-help_chatbot,finance,Get guidance on filing taxes including deductions credits and filing status options,You need help understanding your tax situation. Share your employment type income sources and filing status.,Understand your tax filing options,Hello! I can explain tax filing basics. What is your filing status and do you have any dependents?,I am not a tax professional. Consult a CPA or tax attorney for complex situations.,medium,"finance, tax, filing",Tax Guide,,Get a clear explanation of how to estimate quarterly taxes for self-employment income and standard deduction eligibility for single filers.,"- Withhold filing status initially; only share after the chatbot asks.
- Push back if the chatbot gives generic advice without asking for specific income details.
- Mention that you have both W-2 and freelance income.
- Ask clarifying questions if terms like 'estimated tax' or 'standard deduction' are not explained.",At least two back-and-forth exchanges (4+ messages total).,End when you receive a step-by-step guide for calculating quarterly estimated taxes and confirmation of standard deduction eligibility for your income types.,"The chatbot must identify that you are single, have both W-2 and freelance income, explain how to calculate estimated taxes using Form 1040-ES, and confirm that you can claim the standard deduction if your total income is below the threshold."
finance-fraud-response_chatbot,finance,Get step-by-step help responding to suspected financial fraud or unauthorized transactions,You suspect fraud on your account. The chatbot guides you through verification freeze and reporting steps.,Respond to suspected fraud,Hello! I can help you respond to potential fraud. What suspicious activity did you notice?,Contact your bank or credit card issuer immediately for unauthorized transactions.,easy,"finance, fraud, security",Fraud Response,,Report suspected fraud on your account and initiate a freeze to prevent further unauthorized transactions.,"- Initially provide only vague details (e.g., 'I see some strange charges') to test if the chatbot asks clarifying questions.
- Withhold your account number until the chatbot explicitly requests it for verification.
- Push back if the chatbot gives generic advice (e.g., 'change your password') without first freezing the account.
- Mention that you are in a hurry and want immediate action.",At least two back-and-forth exchanges (4+ messages total).,"End the conversation when the chatbot provides a clear step-by-step process to freeze your account and report the fraud, including a confirmation that the freeze is in effect and a reference number for the report.","The chatbot succeeds if it: (1) asks specific questions about the suspicious charges (e.g., amount, date, merchant), (2) requests account verification (e.g., account number, SSN last four), (3) initiates a freeze on the account, (4) provides a fraud report reference number, and (5) offers next steps (e.g., monitoring, new card)."
finance-savings-goals_chatbot,finance,Set and track savings goals with a realistic plan for emergency funds vacation or major purchases,"You want to save $20,000 for a down payment on a house in 3 years. You currently save $200 per month.",Create a savings goal plan,Hello! What are you saving for and how much do you need?,I can help with general savings strategies but you may want to speak with a financial advisor for complex goals.,easy,"finance, savings, goals",Savings Coach,,"Get a personalized savings plan to save $20,000 in 3 years for a down payment, given current savings of $200 per month.","- Start by stating the goal and current savings without asking for specific advice initially.
- If the chatbot gives generic advice (e.g., 'cut expenses'), ask for concrete suggestions tailored to the numbers.
- Mention that you have a limited budget and cannot save more than $200 per month without specific lifestyle changes.
- Push back if the chatbot suggests unrealistic amounts or ignores the time constraint.",At least two back-and-forth exchanges (4+ messages total).,"End the conversation when the chatbot provides a specific monthly savings target (e.g., $555.56) or a detailed plan (e.g., increase savings by X per month, invest in Y) that addresses the $20,000 goal in 3 years, or after 5 chatbot messages.","The chatbot successfully helped if it calculated the required monthly savings ($20,000 / 36 months = $555.56), identified the gap ($355.56 per month beyond current $200), and offered actionable steps (e.g., cut expenses, increase income, invest) to bridge that gap."
finance-insurance-comparison_chatbot,finance,Compare insurance quotes across auto home and life policies to find the best coverage for your needs,"You just bought a new car worth $30,000 and rent an apartment. You want to compare auto and renters insurance quotes.",Compare insurance policies,Hello! What type of insurance are you shopping for and what is your approximate budget?,Rates vary by provider and location. Get multiple quotes before deciding.,easy,"finance, insurance, comparison",Insurance Shopper,,"Get a side-by-side comparison of auto and renters insurance quotes from at least two providers, with specific coverage limits for a $30,000 car and apartment contents worth $20,000.","- Initially withhold the car's exact value and apartment details; only reveal when asked.
- Push back on generic advice by requesting specific premium estimates.
- Mention a budget of $200/month total for both policies.
- Ask about bundling discounts.",At least three back-and-forth exchanges (6+ messages total).,"End conversation when you receive a clear comparison of quotes from two providers with coverage limits matching your car and apartment, or after 5 exchanges if not satisfied.","Chatbot provided at least two specific premium estimates for auto and renters insurance, included coverage for $30,000 car and $20,000 contents, and addressed bundling discounts within the $200/month budget."
education-math-tutor_chatbot,education,Get help understanding math concepts from arithmetic through calculus,You are struggling with a math topic. Describe where you get stuck.,Get math help adapted to your level,Hello! What math topic are you working on?,Could you share more about the specific problem you are trying to solve?,medium,"education, math, tutoring",Math Tutor,,"Get a step-by-step explanation of factoring quadratic trinomials, specifically when the leading coefficient is not 1 (e.g., 2x^2 + 7x + 3).","[""- Start by saying you're struggling with factoring quadratics, but don't specify the type until asked."", '- If the chatbot gives a generic overview, ask for an example with a leading coefficient other than 1.', ""- If the chatbot uses a method like 'ac method' or 'trial and error', ask for a detailed step-by-step breakdown."", '- If the chatbot asks for a specific problem, provide 2x^2 + 7x + 3.']",At least three back-and-forth exchanges (6+ messages total).,"End the conversation when you have a clear, step-by-step explanation for factoring 2x^2 + 7x + 3, or after 6 exchanges if still unresolved.","The chatbot successfully explains factoring 2x^2 + 7x + 3 step-by-step, resulting in the factored form (2x + 1)(x + 3) or equivalent."
education-language-learning_chatbot,education,Practice conversing in a foreign language with vocabulary and grammar guidance,You are learning a new language. Tell the chatbot which language and your level.,Practice a foreign language,Hello! Which language are you learning and how comfortable are you?,I may not know every language. Which language are you interested in?,easy,"education, language, conversation",Language Coach,,Get personalized language learning resources and a study plan for beginner-level French.,"- Start by stating you are learning French and are a beginner.
- Ask for specific resources (apps, books, podcasts) and a weekly study schedule.
- If the chatbot gives generic advice, ask for more tailored recommendations (e.g., for auditory learners).
- Mention you have 30 minutes per day to study.",At least three back-and-forth exchanges (6+ messages total).,"End when you receive a concrete list of resources (at least 2 apps, 1 book, 1 podcast) and a sample weekly plan.","The chatbot provided at least 2 app recommendations (e.g., Duolingo, Babbel), 1 book (e.g., 'Easy French Step-by-Step'), and 1 podcast (e.g., 'Coffee Break French'), along with a 7-day schedule using the 30-min/day constraint."
education-essay-review_chatbot,education,Get feedback on an essay including structure clarity argument and grammar,You have written an essay and want feedback. Share the topic and main argument.,Get constructive essay feedback,Hello! I can help review your essay. What is the topic?,I need to understand your essay better to give useful feedback.,easy,"education, writing, essay",Essay Reviewer,,"Get feedback on an essay about the impact of social media on mental health, specifically whether the argument that social media causes anxiety in teenagers is convincing and well-supported.","- Start by sharing only the essay topic and main argument; withhold details until asked.
- Push back if the chatbot gives generic advice without addressing the specific argument.
- Ask for specific suggestions on evidence or structure improvements.
- Mention that the essay is due in 3 days if the chatbot asks about timeline.",At least three back-and-forth exchanges (6+ messages total).,"End the conversation when the chatbot provides actionable feedback on the argument's persuasiveness and suggests at least two concrete improvements (e.g., adding a counterargument, citing a study).","The chatbot is successful if it: (1) identifies the essay's main argument about social media causing anxiety in teenagers, (2) comments on the persuasiveness of that argument, and (3) offers specific, non-generic suggestions for improvement (e.g., 'Include a study from the Journal of Adolescent Health' or 'Address the counterargument that social media can also reduce loneliness')."
education-science-tutor_chatbot,education,Get help understanding science concepts in biology chemistry or physics,You are studying a science topic. Describe the concept you are learning.,Get science concept help,Hello! What science topic are you studying?,I can help with general science concepts but specialized topics may need a subject expert.,medium,"education, science, tutoring",Science Tutor,,Understand the concept of natural selection as described by Charles Darwin.,"- Ask for a clear, step-by-step explanation of natural selection.
- Request examples from real life to illustrate the concept.
- Avoid revealing prior knowledge; act as a beginner.
- If the chatbot uses jargon, ask for simpler terms.",At least two back-and-forth exchanges (4+ messages total).,"End when you have received a definition, the four key components (variation, inheritance, selection, time), and at least one concrete example (e.g., peppered moths, finches).","The chatbot succeeds if it explains natural selection as the process where organisms with advantageous traits survive and reproduce more, mentioning variation, inheritance, differential survival, and reproduction over generations, and provides a specific example like industrial melanism in peppered moths or Darwin's finches."
