pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,llm_provider,llm_model,final_merge_confidence
pair_attr_personality_traits_am_aware_of__attr_personality_traits_am_usually_a__a1c6d115d747,attr_personality_traits__am_aware_of_my_feelings__22a4cd3898,attr_personality_traits__am_usually_aware_of_the_way_that_i_m_feeling__5fc014bfd5,Am aware of my feelings.,Am usually aware of the way that I'm feeling.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8351,0.75,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8032,alias_of,merge,symmetric,0.9,Awareness of feelings and usual awareness of feelings; same construct.,openai,gpt-4.1-mini,0.839
pair_attr_personality_traits_am_often_afr__attr_personality_traits_am_often_afr__ff19afd346a4,attr_personality_traits__am_often_afraid__954a1c5f1e,attr_personality_traits__am_often_afraid_of_new_or_unexpected_situations__8c0faebe51,Am often afraid.,Am often afraid of new or unexpected situations.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8349,0.75,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8031,alias_of,merge,symmetric,0.9,Often afraid vs afraid of new situations; same general construct of fearfulness.,openai,gpt-4.1-mini,0.8389
pair_attr_demographics_and_population_gen__attr_demographics_and_population_gen__832fac93aa1f,attr_demographics_and_population__gender_identity__4bd8ee7e7e,attr_demographics_and_population__gender_identity_of_person_1__5678ab1835,Gender identity,gender identity of person 1,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.7355,1.0,0.6541,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8026,alias_of,merge,symmetric,0.9,Both measure gender identity of person 1; effectively same construct.,openai,gpt-4.1-mini,0.8411
pair_attr_personality_traits_self_control__attr_personality_traits_self_control__7db2e5ba3491,attr_personality_traits__self_control__572df1611d,attr_personality_traits__self_control_self_regulation__32861856e1,Self-control,Self-control/Self-regulation,Personality Traits,Personality Traits,facet map personality facets,ipip personality scales,0.7145,1.0,0.7257,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8018,alias_of,merge,symmetric,0.9,Self-control and self-regulation are synonymous constructs.,openai,gpt-4.1-mini,0.8419
pair_attr_life_context_and_constraints_nu__attr_life_context_and_constraints_nu__b6314f6be4d4,attr_life_context_and_constraints__number_of_black_in_current_or_previous_work__f476b7743d,attr_life_context_and_constraints__number_of_linda_in_current_or_previous_work__7bfaf7e86e,number of black in current or previous work,number of linda in current or previous work,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.7494,0.9302,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9302,0.8011,not_related,keep_separate,symmetric,0.7,Number of black people vs number of Linda in work; likely unrelated constructs.,openai,gpt-4.1-mini,0.7503
pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_do__fe451fc8f6b2,attr_life_context_and_constraints__do_you_supervise_the_work_of_other_employees__0518a03efb,attr_life_context_and_constraints__does_r_supervise_others_at_work__953ebee8c9,do you supervise the work of other employees,does r supervise others at work,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8234,0.75,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.7968,alias_of,merge,symmetric,0.9,Supervising others at work phrased differently but same construct.,openai,gpt-4.1-mini,0.8355
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__ef05810a5610,attr_demographics_and_population__relationship_of_2nd_person_to_household_head__a19d9032b0,attr_demographics_and_population__relationship_of_person_10_to_head_of_household__c61bc79ea9,relationship of 2nd person to household head,relationship of person 10 to head of household,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8108,0.7778,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.7968,alias_of,merge,symmetric,0.9,Relationship of person to household head with different person numbers are aliases.,openai,gpt-4.1-mini,0.8358
pair_attr_demographics_and_population_any__attr_demographics_and_population_rac__b82174674b58,attr_demographics_and_population__any_opp_race_in_neighborhood__365c47a9e9,attr_demographics_and_population__race_of_respondent__2a5586a690,any opp. race in neighborhood,race of respondent,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.709,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.7964,not_related,keep_separate,none,0.9,Any opposite race in neighborhood and race of respondent are distinct constructs.,openai,gpt-4.1-mini,0.8386
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__38eb73b4cb15,attr_demographics_and_population__relationship_of_7th_person_to_household_head__7878d4611c,attr_demographics_and_population__relationship_of_person_11_to_head_of_household__4d205bbff9,relationship of 7th person to household head,relationship of person 11 to head of household,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8093,0.7778,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.796,alias_of,merge,symmetric,0.9,Relationship of person to household head with different person numbers are aliases.,openai,gpt-4.1-mini,0.8354
pair_attr_personality_traits_aesthetic_ap__attr_personality_traits_aesthetics_2__fb2b86303bc5,attr_personality_traits__aesthetic_appreciation_artistic_interests__1d9f4939af,attr_personality_traits__aesthetics__2055ac4522,Aesthetic Appreciation/Artistic Interests,Aesthetics,Personality Traits,Personality Traits,ipip personality scales,facet map personality facets,0.7038,1.0,0.7257,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.7959,alias_of,merge,symmetric,0.85,Aesthetic appreciation and aesthetics are aliases measuring same construct.,openai,gpt-4.1-mini,0.8162
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__740da8248bd0,attr_demographics_and_population__relationship_of_9th_person_to_household_head__117e7052e9,attr_demographics_and_population__relationship_of_person_11_to_head_of_household__4d205bbff9,relationship of 9th person to household head,relationship of person 11 to head of household,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8089,0.7778,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.7958,alias_of,merge,symmetric,0.9,Relationship of person to household head with different person numbers are aliases.,openai,gpt-4.1-mini,0.8353
pair_attr_demographics_and_population_sel__attr_demographics_and_population_sel__4ef09dd73d2d,attr_demographics_and_population__select_your_age__9a226cd74e,attr_demographics_and_population__select_your_race__d8f6c5eb29,Select Your Age,Select Your Race,Demographics & Population Grounding,Demographics & Population Grounding,demographic information,demographic information,0.8055,0.9032,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.7954,not_related,keep_separate,none,0.9,Select your age and select your race are distinct demographic questions.,openai,gpt-4.1-mini,0.8332
