pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,final_merge_confidence,llm_provider,llm_model
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__ecc2141a18a8,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups1__4c6e3efcd1,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups2__5b14c4478e,how many years r been a member of veteran groups1,how many years r been a member of veteran groups2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9718,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9358,duplicate_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have nearly identical labels, categories, and definitions, indicating they are duplicates.",0.9369,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__75d16e4c53c0,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_service_group__61e7f73268,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_service_group__c40fa108f2,how many years r born a member of school service group2,how many years r born a member of school service group1,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9656,0.9818,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9818,0.9329,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit in the label but have identical category, subcategory, and definition context, indicating they are aliases.",0.9354,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__813a47379103,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_other_group1__8fecb1b4e8,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_other_group2__8f46c0cfe7,how many years r born a member of other group1,how many years r born a member of other group2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.965,0.9783,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9783,0.9317,alias_of,merge,symmetric,0.95,"The two attributes differ only by a suffix (other group1 vs other group2) but have identical definitions and high lexical and embedding similarity, indicating they are aliases.",0.9347,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__2f989a5e6902,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_farm_organization2__41a1a2e70e,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_farm_organization3__b05ad390df,how many years r born a member of farm organization2,how many years r born a member of farm organization3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9687,0.9808,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9808,0.9344,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit in the label and have very high lexical and embedding similarity, indicating they are aliases of the same persona attribute.",0.9362,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__53d8e8793622,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups4__217380032e,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups5__42ed95f915,how many years r been a member of veteran groups4,how many years r been a member of veteran groups5,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9633,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9311,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have very high lexical and embedding similarity, indicating they are aliases or duplicates.",0.9344,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__db5d9e0fb2f8,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups1__4c6e3efcd1,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups5__42ed95f915,how many years r been a member of veteran groups1,how many years r been a member of veteran groups5,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9642,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9316,duplicate_of,merge,symmetric,0.95,"The attributes differ only by a trailing digit in the label, share the same category, subcategory, and source, and have very high lexical and embedding similarity, indicating they are duplicates.",0.9346,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__d7837aad3ce1,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups1__e0b21d60d6,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups3__909a069379,how many years r born a member of youth groups1,how many years r born a member of youth groups3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9625,0.9787,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9787,0.9305,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit in the label and have very high lexical and embedding similarity, indicating they are aliases or duplicates.",0.934,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__295f24154572,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_political_club1__702abe9ece,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_political_club2__7cec8b4179,how many years r been a member of political club1,how many years r been a member of political club2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9616,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9302,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have nearly identical labels, categories, and definitions, indicating they are aliases.",0.9339,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__4d005887de12,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_fraternity1__132b338949,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_fraternity3__a5fb60651d,how many years r born a member of school fraternity1,how many years r born a member of school fraternity3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9606,0.9808,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9808,0.9299,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing number in the label but have identical category, subcategory, and very high lexical and embedding similarity, indicating they are aliases.",0.9337,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__132b33e9d771,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_professional_society__608868606e,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_professional_society__f11059610a,how many years r born a member of professional society2,how many years r born a member of professional society3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9591,0.9818,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9818,0.9294,alias_of,merge,symmetric,0.95,"The two attributes have nearly identical labels and definitions, differing only by a trailing digit, indicating they are aliases of the same persona attribute.",0.9334,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__19a459813511,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups3__9007af9518,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups5__42ed95f915,how many years r been a member of veteran groups3,how many years r been a member of veteran groups5,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9603,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9295,duplicate_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit in the label but have identical category, subcategory, and very high lexical and embedding similarity, indicating they are duplicates.",0.9335,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__745d9cdd9e13,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_labor_union1__bc7a6d06f8,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_labor_union2__b9965b820f,how many years r born a member of labor union1,how many years r born a member of labor union2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9693,0.9783,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9783,0.9341,alias_of,merge,symmetric,0.95,"Attributes measure the same construct with only a suffix difference, high similarity.",0.936,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__eed53a6afef6,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_farm_organization1__347d5dcf2f,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_farm_organization3__b05ad390df,how many years r born a member of farm organization1,how many years r born a member of farm organization3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9679,0.9808,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9808,0.934,alias_of,merge,symmetric,0.95,"Attributes differ only by suffix number, measuring same construct.",0.9359,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__94a9fce79b99,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups3__9007af9518,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups4__217380032e,how many years r been a member of veteran groups3,how many years r been a member of veteran groups4,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9668,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9331,alias_of,merge,symmetric,0.95,"Same construct with different suffixes, high similarity.",0.9354,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__0ea55aa615b9,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_literary_group1__670a7ac52a,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_literary_group2__a02334d81e,how many years r born a member of literary group1,how many years r born a member of literary group2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.965,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9321,alias_of,merge,symmetric,0.95,"Same attribute differing only by suffix, measuring same concept.",0.9349,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__0a18e4b65c44,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_sports_groups1__cc83048b0d,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_sports_groups2__828fa22ca9,how many years r born a member of sports groups1,how many years r born a member of sports groups2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9644,0.9792,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9792,0.9316,alias_of,merge,symmetric,0.95,"Attributes are equivalent except for suffix, same construct.",0.9346,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__9a95fd612dd2,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_other_group2__8f46c0cfe7,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_other_group3__5c1f55155a,how many years r born a member of other group2,how many years r born a member of other group3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9636,0.9783,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9783,0.931,alias_of,merge,symmetric,0.95,Same construct with suffix difference only.,0.9343,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__c65b8b68c4fe,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups1__4c6e3efcd1,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups4__217380032e,how many years r been a member of veteran groups1,how many years r been a member of veteran groups4,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9631,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.931,alias_of,merge,symmetric,0.95,Attributes measure same concept with suffix variation.,0.9343,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__e927a17a3d32,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_fraternity2__9cfcae3a23,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_fraternity3__a5fb60651d,how many years r born a member of school fraternity2,how many years r born a member of school fraternity3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9618,0.9808,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9808,0.9306,alias_of,merge,symmetric,0.95,Same attribute differing only by suffix number.,0.9341,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__ce9960111fd8,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_fraternity_group1__1a257e2b62,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_fraternity_group2__6972419d51,how many years r born a member of fraternity group1,how many years r born a member of fraternity group2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9618,0.9804,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9804,0.9305,alias_of,merge,symmetric,0.95,Equivalent attributes with suffix difference.,0.934,openai,gpt-4.1-mini
pair_attr_behavioral_patterns_and_pref_ho__attr_behavioral_patterns_and_pref_ho__d4659a99d4f3,attr_behavioral_patterns_and_pref__how_often_r_considered_pet_member_of_family__ea9e3d7f72,attr_behavioral_patterns_and_pref__how_often_r_considers_pet_member_of_family__cccec00aa6,how often r considered pet member of family,how often r considers pet member of family,Behavioral Patterns & Preferences,Behavioral Patterns & Preferences,behavioral patterns and preferences,behavioral patterns and preferences,0.9681,0.9647,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9647,0.93,alias_of,merge,symmetric,0.9,"Same construct with minor wording variation, measuring frequency of same behavior.",0.9111,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__211142155607,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups2__5b14c4478e,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups4__217380032e,how many years r been a member of veteran groups2,how many years r been a member of veteran groups4,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9608,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9298,alias_of,merge,symmetric,0.95,Same attribute with suffix difference only.,0.9336,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__5a959f8a5721,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_labor_union2__b9965b820f,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_labor_union3__41df39ee68,how many years r born a member of labor union2,how many years r born a member of labor union3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9606,0.9783,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9783,0.9293,alias_of,merge,symmetric,0.95,Equivalent attributes differing only by suffix.,0.9334,openai,gpt-4.1-mini
