pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,final_merge_confidence,llm_provider,llm_model,edge_weight
pair_attr_life_context_and_constraints_x__attr_life_context_and_constraints_x__fd415984c861,attr_life_context_and_constraints__x_should_be_admitted_to_be_hospitalized_for_treatment__450c911304,attr_life_context_and_constraints__x_should_be_admitted_to_be_hospitalized_for_treatment__9b8c94e13c,x should be admitted to be hospitalized for treatment if dangerous to others,x should be admitted to be hospitalized for treatment if dangerous to x,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9145,0.9524,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9524,0.8975,conflicts_with,keep_separate,none,0.9,"The two attributes differ in the subject of danger: one concerns danger to others, the other danger to self. These are inverse/conflicting conditions and should not be merged.",0.8931,openai,gpt-4.1-mini,0.738
pair_attr_life_context_and_constraints_vo__attr_life_context_and_constraints_vo__9a298590d095,attr_life_context_and_constraints__vote_on_open_housing_law_no_volunteered_response_on_we__fcdc7cf4f4,attr_life_context_and_constraints__vote_on_open_housing_law_with_volunteered_response_on__34023b287e,vote on open housing law (no volunteered response on web),vote on open housing law (with volunteered response on web),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9118,0.9483,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9483,0.895,related_but_distinct,keep_separate,none,0.9,"Both attributes measure voting on the same law but differ by inclusion of volunteered web responses, making them related but distinct.",0.8917,openai,gpt-4.1-mini,0.522
pair_attr_domain_specific_overlays_streng__attr_domain_specific_overlays_streng__06987c5e6ad2,attr_domain_specific_overlays__strength_of_affiliation_no_volunteered_response_on_web__bf4ad81f19,attr_domain_specific_overlays__strength_of_affiliation_with_volunteered_response_on_w__5d6b2c0cbf,strength of affiliation (no volunteered response on web),strength of affiliation (with volunteered response on web),Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.9003,0.9474,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9474,0.8884,related_but_distinct,keep_separate,none,0.9,"Both attributes measure strength of affiliation but differ by inclusion of volunteered response, making them related but distinct constructs.",0.8881,openai,gpt-4.1-mini,0.522
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__8b33314963f3,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__2e31058e42,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,percent of people who shopped at the supermarket during childhood who were some,percent of people who shopped at the supermarket during childhood who were white,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8948,0.956,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.956,0.8876,related_but_distinct,keep_separate,none,0.9,Attribute A is a general group (some) while Attribute B specifies a subgroup (white); they are related but distinct and should not be merged.,0.8878,openai,gpt-4.1-mini,0.522
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__1ca255bbc90c,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__3d9e4b77d5,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__fb8aaad2ce,percent of people who shopped at the supermarket during childhood who were asian,percent of people who shopped at the supermarket during childhood who were black,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8947,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.886,related_but_distinct,keep_separate,none,0.95,"Attributes measure similar behaviors but for different racial groups, thus related but distinct and should be kept separate.",0.9093,openai,gpt-4.1-mini,0.551
pair_attr_domain_specific_overlays_feelin__attr_domain_specific_overlays_feelin__1e5d9fe215fa,attr_domain_specific_overlays__feelings_about_the_bible_no_volunteered_response_on_we__b0021cca79,attr_domain_specific_overlays__feelings_about_the_bible_with_volunteered_response_on__7b58179870,feelings about the bible (no volunteered response on web),feelings about the bible (with volunteered response on web),Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8936,0.9483,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9483,0.885,related_but_distinct,keep_separate,none,0.9,"Both attributes measure feelings about the Bible but differ by inclusion of volunteered responses, indicating related but distinct constructs rather than duplicates or aliases.",0.8863,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_wh__89ef9828f60d,attr_life_context_and_constraints__who_r_thinks_should_be_most_responsible_for_cost_of_xs__b6cae17ae0,attr_life_context_and_constraints__who_r_thinks_should_be_next_most_responsible_for_cost__3c8d8f893e,who r thinks should be most responsible for cost of xs medical care,who r thinks should be next most responsible for cost of xs medical care,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8931,0.964,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.964,0.8886,related_but_distinct,keep_separate,none,0.95,"Attributes differ by responsibility order (most vs next most), indicating related but distinct roles rather than duplicates or aliases.",0.911,openai,gpt-4.1-mini,0.551
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__afca2bb2b91e,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__fb8aaad2ce,percent of people who shopped at the supermarket during childhood who were white,percent of people who shopped at the supermarket during childhood who were black,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.897,0.9375,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9375,0.8841,inverse_pole,keep_separate,symmetric,0.95,"Attributes represent complementary racial categories (white vs black) within the same context, making them inverse poles rather than duplicates or aliases.",0.9082,openai,gpt-4.1-mini,0.817
pair_attr_domain_specific_overlays_divorc__attr_domain_specific_overlays_divorc__5ea177b5bd9d,attr_domain_specific_overlays__divorce_laws_no_volunteered_response_on_web__046c131099,attr_domain_specific_overlays__divorce_laws_with_volunteered_response_on_web__373bfcb145,divorce laws (no volunteered response on web),divorce laws (with volunteered response on web),Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8961,0.9348,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9348,0.883,related_but_distinct,keep_separate,none,0.9,"Both attributes concern divorce laws but differ by response type (no volunteered response vs. with volunteered response), indicating related but distinct data collection methods rather than duplicates or aliases.",0.885,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_re__attr_life_context_and_constraints_sp__ce4471ebe2d6,attr_life_context_and_constraints__respondent_s_industry_code_1970__e18a463178,attr_life_context_and_constraints__spouse_s_industry_code_1970__b3f3e9ebf6,respondent's industry code (1970),spouse's industry code (1970),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8633,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8812,related_but_distinct,keep_separate,none,0.95,"Both attributes refer to industry codes from 1970 but for different individuals (respondent vs spouse), making them related but distinct persona attributes.",0.9074,openai,gpt-4.1-mini,0.551
pair_attr_life_context_and_constraints_al__attr_life_context_and_constraints_pu__acf8f628b2ab,attr_life_context_and_constraints__all_other_income_past_12_months_use_adjinc_to_adjust_t__fe9838cdd0,attr_life_context_and_constraints__public_assistance_income_past_12_months_use_adjinc_to__fe297feec8,All other income past 12 months (use ADJINC to adjust to constant dollars),Public assistance income past 12 months (use ADJINC to adjust to constant dollars),Life Context & Constraints,Life Context & Constraints,poverty public assistance and retirement income,poverty public assistance and retirement income,0.9159,0.8846,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8813,related_but_distinct,keep_separate,none,0.95,"Both attributes relate to income in the past 12 months adjusted by ADJINC, but one is 'All other income' and the other is specifically 'Public assistance income', indicating related but distinct constructs.",0.9059,openai,gpt-4.1-mini,0.551
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__d6edc985072f,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__3d9e4b77d5,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,percent of people who shopped at the supermarket during childhood who were asian,percent of people who shopped at the supermarket during childhood who were white,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.89,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.8834,inverse_pole,keep_separate,symmetric,0.95,"Attributes represent complementary demographic groups (Asian vs White) within the same context, making them inverse poles rather than duplicates or aliases.",0.9079,openai,gpt-4.1-mini,0.817
pair_attr_life_context_and_constraints_al__attr_life_context_and_constraints_re__6fd0f9dca9f5,attr_life_context_and_constraints__all_other_income_past_12_months_use_adjinc_to_adjust_t__fe9838cdd0,attr_life_context_and_constraints__retirement_income_past_12_months_use_adjinc_to_adjust__1fca0ceb6f,All other income past 12 months (use ADJINC to adjust to constant dollars),Retirement income past 12 months (use ADJINC to adjust to constant dollars),Life Context & Constraints,Life Context & Constraints,poverty public assistance and retirement income,poverty public assistance and retirement income,0.9188,0.8859,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8182,0.8832,related_but_distinct,keep_separate,none,0.95,"Both attributes relate to income in the past 12 months but represent different income sources (all other income vs. retirement income), so they are related but distinct and should not be merged.",0.907,openai,gpt-4.1-mini,0.551
pair_attr_demographics_and_population_is__attr_demographics_and_population_is__70b5e19d43fb,attr_demographics_and_population__is_r_us_citizen_no_volunteered_response_on_web__3320a635de,attr_demographics_and_population__is_r_us_citizen_with_volunteered_response_on_web__6d66b450bc,is r us citizen (no volunteered response on web),is r us citizen (with volunteered response on web),Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8857,0.9388,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9388,0.8782,related_but_distinct,keep_separate,none,0.9,"Both attributes measure US citizenship status but differ by inclusion of volunteered response on web, indicating related but distinct data collection methods.",0.8825,openai,gpt-4.1-mini,0.522
pair_attr_cognitive_and_capability_pro_re__attr_cognitive_and_capability_pro_sp__bc919c6df553,attr_cognitive_and_capability_pro__respondent_s_highest_degree__35ce2ba9d9,attr_cognitive_and_capability_pro__spouse_s_highest_degree__325442991a,respondent's highest degree,spouse's highest degree,Cognitive & Capability Profile,Cognitive & Capability Profile,cognitive and capability profile,cognitive and capability profile,0.8507,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8743,related_but_distinct,keep_separate,none,0.95,"Attributes refer to highest degree of different individuals (respondent vs spouse), thus related but distinct and should be kept separate.",0.9036,openai,gpt-4.1-mini,0.551
pair_attr_life_context_and_constraints_go__attr_life_context_and_constraints_go__87285172e9c8,attr_life_context_and_constraints__government_should_verify_financial_assets__e6edad635e,attr_life_context_and_constraints__government_should_verify_spouse_s_financial_assets__c1b2b5d69d,government should verify financial assets,government should verify spouse's financial assets,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9009,0.9011,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8333,0.8772,related_but_distinct,keep_separate,none,0.9,"Attributes differ in scope: one refers to verifying individual's financial assets, the other specifically spouse's assets; related but distinct aspects of life context.",0.8814,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_mi__attr_life_context_and_constraints_pl__d2472ad72eff,attr_life_context_and_constraints__migration_puma_based_on_2020_census_definition__7f04c96215,attr_life_context_and_constraints__place_of_work_puma_based_on_2020_census_definition__4bdfd17199,Migration PUMA based on 2020 Census definition,Place of work PUMA based on 2020 Census definition,Life Context & Constraints,Life Context & Constraints,migration military and place of work,migration military and place of work,0.9366,0.8125,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.7143,0.8747,related_but_distinct,keep_separate,none,0.95,Migration PUMA and Place of work PUMA are related geographic attributes within the same subcategory but represent distinct concepts and are not duplicates or aliases.,0.9013,openai,gpt-4.1-mini,0.551
pair_attr_life_context_and_constraints_fa__attr_life_context_and_constraints_re__82ba6b31430d,attr_life_context_and_constraints__father_s_industry_code_1970__0fdfc46a8a,attr_life_context_and_constraints__respondent_s_industry_code_1970__e18a463178,father's industry code (1970),respondent's industry code (1970),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.85,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8739,related_but_distinct,keep_separate,none,0.9,"Both attributes refer to industry codes from 1970 but for different individuals (father vs respondent), making them related but distinct persona attributes.",0.8809,openai,gpt-4.1-mini,0.522
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__c2cdb961db10,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__f14635a675,percent of people who shopped at the supermarket during childhood who were white,percent of people who shopped at the supermarket during childhood who were latin,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8713,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.8731,related_but_distinct,keep_separate,none,0.95,"Attributes measure similar behaviors but for different racial groups, thus related but distinct and should be kept separate.",0.9023,openai,gpt-4.1-mini,0.551
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__8269df4df2de,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__2e31058e42,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__f14635a675,percent of people who shopped at the supermarket during childhood who were some,percent of people who shopped at the supermarket during childhood who were latin,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8738,0.9434,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9434,0.8729,related_but_distinct,keep_separate,none,0.9,"Both attributes measure percent of people who shopped at the supermarket during childhood but differ by subgroup (some vs latin), indicating related but distinct persona attributes.",0.8796,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_re__attr_life_context_and_constraints_re__38b24822234d,attr_life_context_and_constraints__respondent_s_father_s_occupation_2010_census_and_2008__3355c5f482,attr_life_context_and_constraints__respondent_s_spouse_s_occupation_2010_census_and_2008__a5f44acc0d,"respondent's father's occupation, 2010 census & 2008 isco code","respondent's spouse's occupation, 2010 census & 2008 isco code",Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8764,0.9194,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8683,related_but_distinct,keep_separate,none,0.95,Attributes refer to different family members' occupations; related context but distinct attributes.,0.8993,openai,gpt-4.1-mini,0.551
pair_attr_worldview_beliefs_and_attitu_ex__attr_worldview_beliefs_and_attitu_ex__f6955c09a788,attr_worldview_beliefs_and_attitu__expect_us_in_world_war_in_next_10_years_no_volunteered__984b55cd46,attr_worldview_beliefs_and_attitu__expect_us_in_world_war_in_next_10_years_volunteered_re__f224588b5d,expect us in world war in next 10 years (no volunteered response on web),expect us in world war in next 10 years (volunteered response on web),"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,worldview beliefs and attitudes,0.9396,0.9787,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8679,related_but_distinct,keep_separate,none,0.9,"Both attributes measure expectation of world war in next 10 years but differ by response type (no volunteered vs volunteered), indicating related but distinct constructs.",0.9046,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_ru__attr_life_context_and_constraints_ru__2ad57a65f7d4,attr_life_context_and_constraints__run_out_of_time_before_getting_things_done_at_home__d66546e708,attr_life_context_and_constraints__run_out_of_time_before_getting_things_done_at_work__87f1cd167c,run out of time before getting things done at home,run out of time before getting things done at work,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8661,0.94,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.94,0.8678,related_but_distinct,keep_separate,none,0.95,"Attributes describe similar constraints but in different contexts (home vs work), so they are related but distinct and should not be merged.",0.8993,openai,gpt-4.1-mini,0.551
pair_attr_personality_traits_get_upset_wh__attr_personality_traits_get_upset_wh__19d8ba326b07,attr_personality_traits__get_upset_when_others_don_t_notice_how_i_look__e4f9e37b92,attr_personality_traits__get_upset_when_others_notice_how_i_look__6025024a74,Get upset when others don't notice how I look.,Get upset when others notice how I look.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8677,0.9302,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9302,0.8662,conflicts_with,keep_separate,symmetric,0.9,"The two attributes describe opposite reactions to others noticing or not noticing appearance, thus they conflict and should be kept separate.",0.8758,openai,gpt-4.1-mini,0.738
pair_attr_domain_specific_overlays_has_ai__attr_domain_specific_overlays_has_ai__83c239f2b3a9,attr_domain_specific_overlays__has_aids_victim_2nd_closest_to_r_died__752106244e,attr_domain_specific_overlays__has_aids_victim_closest_to_r_died__03a3f52cfd,has aids victim 2nd closest to r died,has aids victim closest to r died,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8619,0.9429,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9429,0.8662,related_but_distinct,keep_separate,none,0.9,"Attributes differ by proximity ranking (closest vs 2nd closest), indicating related but distinct persona attributes rather than duplicates or aliases.",0.8759,openai,gpt-4.1-mini,0.522
pair_attr_domain_specific_overlays_has_ai__attr_domain_specific_overlays_has_ai__8840262fec05,attr_domain_specific_overlays__has_aids_victim_3rd_closest_to_r_died__87dac4b0d5,attr_domain_specific_overlays__has_aids_victim_closest_to_r_died__03a3f52cfd,has aids victim 3rd closest to r died,has aids victim closest to r died,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8593,0.9429,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9429,0.8648,broader_than,keep_separate,B_to_A,0.85,"Attribute B ('closest to r died') is a narrower, more specific case than Attribute A ('3rd closest to r died'), so they are hierarchical variants but not duplicates.",0.8527,openai,gpt-4.1-mini,0.663
pair_attr_personality_traits_am_considere__attr_personality_traits_am_not_consi__baaf8b424964,attr_personality_traits__am_considered_attractive_by_others__a06431195f,attr_personality_traits__am_not_considered_attractive_by_others__4ff17451bd,Am considered attractive by others.,Am not considered attractive by others.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8606,0.9459,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9459,0.8662,inverse_pole,keep_separate,symmetric,0.95,"The attributes are direct opposites (considered attractive vs. not considered attractive), representing inverse poles rather than duplicates or aliases.",0.8985,openai,gpt-4.1-mini,0.817
