pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,final_merge_confidence,llm_provider,llm_model
pair_attr_demographics_and_population_r_7__attr_demographics_and_population_r_8__4e2f29d4fd25,attr_demographics_and_population__r_7th_sibling_alive__658ac6d455,attr_demographics_and_population__r_8th_sibling_alive__f2534478f7,r 7th sibling alive?,r 8th sibling alive?,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8897,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.8832,not_related,keep_separate,none,0.95,Sibling alive status for different siblings; distinct attributes.,0.9078,openai,gpt-4.1-mini
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__86475f6c5b0d,attr_demographics_and_population__relationship_of_4th_person_to_household_head__7a2a3a66b3,attr_demographics_and_population__relationship_of_7th_person_to_household_head__7878d4611c,relationship of 4th person to household head,relationship of 7th person to household head,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8772,0.9773,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9773,0.8832,not_related,keep_separate,none,0.9,Relationship of different persons to household head; distinct attributes.,0.8857,openai,gpt-4.1-mini
pair_attr_cognitive_and_capability_pro_hi__attr_cognitive_and_capability_pro_hi__4abffc369b3e,attr_cognitive_and_capability_pro__highest_schl_grade_of_r_3rd_child__ab3a61d53b,attr_cognitive_and_capability_pro__highest_schl_grade_of_r_9th_child__cf69a3b978,highest schl grade of r 3rd child,highest schl grade of r 9th child,Cognitive & Capability Profile,Cognitive & Capability Profile,cognitive and capability profile,cognitive and capability profile,0.908,0.9091,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8831,not_related,keep_separate,none,0.95,Highest school grade of different children; distinct attributes.,0.9072,openai,gpt-4.1-mini
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__bcc17903e2d9,attr_demographics_and_population__relationship_of_person_14_to_head_of_household__6d5b9f891b,attr_demographics_and_population__relationship_of_person_1_to_head_of_household__0ee43f3a9b,relationship of person 14 to head of household,relationship of person 1 to head of household,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8542,0.989,0.7738,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.989,0.8831,not_related,keep_separate,none,0.9,Relationship of different persons to household head; distinct attributes.,0.887,openai,gpt-4.1-mini
pair_attr_demographics_and_population_is__attr_demographics_and_population_is__1b3edd18adfe,attr_demographics_and_population__is_10th_person_staying_somewhere_else_now__7faa07687e,attr_demographics_and_population__is_9th_person_staying_somewhere_else_now__e875b46bf0,is 10th person staying somewhere else now?,is 9th person staying somewhere else now?,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.883,0.9639,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9639,0.883,not_related,keep_separate,none,0.9,Is different person staying somewhere else; distinct attributes.,0.8854,openai,gpt-4.1-mini
pair_attr_demographics_and_population_sex__attr_demographics_and_population_sex__78d71514ea0f,attr_demographics_and_population__sex_of_r_7th_child__3108ade003,attr_demographics_and_population__sex_of_r_9th_child__7431f10ad0,sex of r 7th child,sex of r 9th child,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8914,0.9444,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9444,0.8828,not_related,keep_separate,none,0.95,Sex of different children; distinct attributes.,0.9075,openai,gpt-4.1-mini
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__4484c53f9fa3,attr_demographics_and_population__relationship_of_person_14_to_spouse_of_househo__5fce040bc8,attr_demographics_and_population__relationship_of_person_1_to_spouse_of_househol__e929c1e777,relationship of person 14 to spouse of househo,relationship of person 1 to spouse of househol,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8585,0.9783,0.7738,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9783,0.8828,not_related,keep_separate,none,0.9,Relationship of different persons to spouse of household; distinct attributes.,0.8867,openai,gpt-4.1-mini
pair_attr_demographics_and_population_r_r__attr_demographics_and_population_r_r__99258677e55f,attr_demographics_and_population__r_relation_to_r_1st_sibling__cf4f53cad2,attr_demographics_and_population__r_relation_to_r_6th_sibling__f707a56972,r relation to r 1st sibling,r relation to r 6th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8996,0.9259,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9259,0.8827,not_related,keep_separate,none,0.95,Relation to different siblings; distinct attributes.,0.9072,openai,gpt-4.1-mini
pair_attr_demographics_and_population_age__attr_demographics_and_population_age__28747427a207,attr_demographics_and_population__age_of_eighth_person_in_household_screening_if_applica__6b8880e8c9,attr_demographics_and_population__age_of_tenth_person_in_household_screening_if_applicab__d48192bbfd,age of eighth person in household screening (if applicable),age of tenth person in household screening (if applicable),Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8854,0.9573,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9573,0.8827,not_related,keep_separate,none,0.95,Age of different persons; distinct attributes.,0.9077,openai,gpt-4.1-mini
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__3db154733fa4,attr_demographics_and_population__relationship_of_person_11_to_spouse_of_househo__0279732011,attr_demographics_and_population__relationship_of_person_13_to_spouse_of_househo__5982f13c29,relationship of person 11 to spouse of househo,relationship of person 13 to spouse of househo,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8754,0.9783,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9783,0.8825,not_related,keep_separate,none,0.9,Relationship of different persons to spouse of household; distinct attributes.,0.8853,openai,gpt-4.1-mini
pair_attr_cognitive_and_capability_pro_hi__attr_cognitive_and_capability_pro_hi__294d076a572f,attr_cognitive_and_capability_pro__highest_schl_grade_of_r_2nd_child__baebfcf747,attr_cognitive_and_capability_pro__highest_schl_grade_of_r_9th_child__cf69a3b978,highest schl grade of r 2nd child,highest schl grade of r 9th child,Cognitive & Capability Profile,Cognitive & Capability Profile,cognitive and capability profile,cognitive and capability profile,0.9067,0.9091,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8824,not_related,keep_separate,none,0.95,Highest school grade of different children; distinct attributes.,0.9068,openai,gpt-4.1-mini
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__4ab538782551,attr_demographics_and_population__relationship_of_10th_person_to_household_head__1324552a17,attr_demographics_and_population__relationship_of_8th_person_to_household_head__411bd8eda0,relationship of 10th person to household head,relationship of 8th person to household head,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8807,0.9663,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9663,0.8824,not_related,keep_separate,none,0.9,Relationship of different persons to household head; distinct attributes.,0.8851,openai,gpt-4.1-mini
pair_attr_demographics_and_population_r_r__attr_demographics_and_population_r_r__c2253c2c5edc,attr_demographics_and_population__r_relation_to_r_4th_sibling__4833cd990d,attr_demographics_and_population__r_relation_to_r_8th_sibling__d446b6aae6,r relation to r 4th sibling,r relation to r 8th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.882,0.963,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.963,0.8823,not_related,keep_separate,none,0.9,Relation to different siblings; distinct attributes.,0.885,openai,gpt-4.1-mini
pair_attr_demographics_and_population_is__attr_demographics_and_population_is__ecb1c322cb8b,attr_demographics_and_population__is_11th_person_visitor_staying_elsewhere_now__0b46ece631,attr_demographics_and_population__is_14th_person_visitor_staying_elsewhere_now__b69dc428b2,is 11th person (visitor) staying elsewhere now?,is 14th person (visitor) staying elsewhere now?,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8749,0.9787,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9787,0.8823,not_related,keep_separate,none,0.9,Is different person staying elsewhere; distinct attributes.,0.8852,openai,gpt-4.1-mini
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__e8fc59be58c9,attr_demographics_and_population__relationship_of_person_11_to_head_of_household__4d205bbff9,attr_demographics_and_population__relationship_of_person_13_to_head_of_household__54aad0c71d,relationship of person 11 to head of household,relationship of person 13 to head of household,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8741,0.9783,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9783,0.8817,not_related,keep_separate,none,0.9,Relationship of different persons to household head; distinct attributes.,0.8849,openai,gpt-4.1-mini
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__f7ce060a8dbe,attr_demographics_and_population__relationship_of_person_13_to_spouse_of_househo__5982f13c29,attr_demographics_and_population__relationship_of_person_14_to_spouse_of_househo__5fce040bc8,relationship of person 13 to spouse of househo,relationship of person 14 to spouse of househo,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.874,0.9783,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9783,0.8817,not_related,keep_separate,none,0.9,Relationship of different persons to spouse of household; distinct attributes.,0.8849,openai,gpt-4.1-mini
pair_attr_demographics_and_population_r_8__attr_demographics_and_population_r_9__19eb4eb110c6,attr_demographics_and_population__r_8th_sibling_alive__f2534478f7,attr_demographics_and_population__r_9th_sibling_alive__4a1ab28b8b,r 8th sibling alive?,r 9th sibling alive?,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8859,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.8812,not_related,keep_separate,none,0.95,Sibling alive status for different siblings; distinct attributes.,0.9067,openai,gpt-4.1-mini
pair_attr_demographics_and_population_r_r__attr_demographics_and_population_r_r__791c709264d0,attr_demographics_and_population__r_relation_to_r_1st_sibling__cf4f53cad2,attr_demographics_and_population__r_relation_to_r_4th_sibling__4833cd990d,r relation to r 1st sibling,r relation to r 4th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8968,0.9259,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9259,0.8811,not_related,keep_separate,none,0.95,Relation to different siblings; distinct attributes.,0.9064,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_who_wo__attr_domain_specific_overlays_who_wo__1a6b4ffcf6f6,attr_domain_specific_overlays__who_would_r_have_voted_for_1968_election__9911511ae4,attr_domain_specific_overlays__who_would_r_have_voted_for_1976_election__465c70ad7e,who would r have voted for-1968 election,who would r have voted for-1976 election,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8745,0.975,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.975,0.8811,not_related,keep_separate,none,0.9,Voting preference in different election years; related but distinct.,0.8845,openai,gpt-4.1-mini
pair_attr_demographics_and_population_sex__attr_demographics_and_population_sex__edf5b0ed8798,attr_demographics_and_population__sex_of_r_6th_sibling__da30776317,attr_demographics_and_population__sex_of_r_8th_sibling__74b5fce390,sex of r 6th sibling,sex of r 8th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8852,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.8808,not_related,keep_separate,none,0.95,Sex of different siblings; distinct attributes.,0.9065,openai,gpt-4.1-mini
pair_attr_demographics_and_population_sex__attr_demographics_and_population_sex__b1a942100171,attr_demographics_and_population__sex_of_r_5th_sibling__6d9909026b,attr_demographics_and_population__sex_of_r_7th_sibling__30f3ed19bc,sex of r 5th sibling,sex of r 7th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8845,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.8804,not_related,keep_separate,none,0.95,Sex of different siblings; distinct attributes.,0.9063,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_did_r__attr_domain_specific_overlays_did_r__fa778cd4f0ab,attr_domain_specific_overlays__did_r_vote_in_1972_election__889991a797,attr_domain_specific_overlays__did_r_vote_in_1992_election__c3f9787707,did r vote in 1972 election,did r vote in 1992 election,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8786,0.963,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.963,0.8804,not_related,keep_separate,none,0.9,Voting in different election years; related but distinct.,0.884,openai,gpt-4.1-mini
pair_attr_demographics_and_population_gen__attr_demographics_and_population_gen__bb2f420bc944,attr_demographics_and_population__gender_of_7th_person__aeed385252,attr_demographics_and_population__gender_of_8th_person__90ad5266b7,gender of 7th person,gender of 8th person,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8844,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.8803,not_related,keep_separate,none,0.95,Gender of different persons; distinct attributes.,0.9063,openai,gpt-4.1-mini
pair_attr_demographics_and_population_r_r__attr_demographics_and_population_r_r__8d23a66191c7,attr_demographics_and_population__r_relation_to_r_5th_sibling__e8d3d6fdd0,attr_demographics_and_population__r_relation_to_r_8th_sibling__d446b6aae6,r relation to r 5th sibling,r relation to r 8th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8784,0.963,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.963,0.8803,not_related,keep_separate,none,0.9,Relation to different siblings; distinct attributes.,0.8839,openai,gpt-4.1-mini
pair_attr_demographics_and_population_sex__attr_demographics_and_population_sex__61b6fa936513,attr_demographics_and_population__sex_of_r_5th_child__b897a3b182,attr_demographics_and_population__sex_of_r_7th_child__3108ade003,sex of r 5th child,sex of r 7th child,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8865,0.9444,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9444,0.8801,not_related,keep_separate,none,0.95,Sex of different children; distinct attributes.,0.906,openai,gpt-4.1-mini
pair_attr_demographics_and_population_sex__attr_demographics_and_population_sex__a974fccfbebe,attr_demographics_and_population__sex_of_r_4th_sibling__739e008cac,attr_demographics_and_population__sex_of_r_6th_sibling__da30776317,sex of r 4th sibling,sex of r 6th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.884,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.8801,not_related,keep_separate,none,0.95,Sex of different siblings; distinct attributes.,0.9061,openai,gpt-4.1-mini
pair_attr_demographics_and_population_age__attr_demographics_and_population_rac__c77c3895550f,attr_demographics_and_population__age_of_aids_victim_2nd_closest_to_r__fe0477e5ca,attr_demographics_and_population__race_of_aids_victim_2nd_closest_to_r__396fd7c769,age of aids victim 2nd closest to r,race of aids victim 2nd closest to r,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8804,0.9577,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9577,0.8801,not_related,keep_separate,none,0.95,Age and race are distinct demographic variables measuring different constructs.,0.9062,openai,gpt-4.1-mini
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__ed3f7152246b,attr_demographics_and_population__relationship_of_3rd_person_to_household_head__494f1074b2,attr_demographics_and_population__relationship_of_5th_person_to_household_head__fac021a73b,relationship of 3rd person to household head,relationship of 5th person to household head,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.883,0.9318,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9318,0.875,not_related,keep_separate,none,0.95,"Attributes refer to relationships of different household members; distinct entities, not same construct.",0.9031,openai,gpt-4.1-mini
pair_attr_demographics_and_population_age__attr_demographics_and_population_age__4892fb4cdb0b,attr_demographics_and_population__age_of_eighth_person_in_household_screening_if_applica__6b8880e8c9,attr_demographics_and_population__age_of_fourth_person_in_household_screening_if_applica__e4b4a136f2,age of eighth person in household screening (if applicable),age of fourth person in household screening (if applicable),Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8828,0.9322,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9322,0.875,not_related,keep_separate,none,0.95,Ages of different household members; distinct attributes measuring different individuals.,0.9031,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__05b215fa6b86,attr_domain_specific_overlays__number_of_keith_r_is_acquainted_with__eb90bf925c,attr_domain_specific_overlays__number_of_kevin_r_is_acquainted_with__4b3189b977,number of keith r is acquainted with,number of kevin r is acquainted with,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8773,0.9444,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9444,0.875,not_related,keep_separate,none,0.9,Number of acquaintances of different persons; distinct attributes.,0.8808,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__381dca71c3d7,attr_life_context_and_constraints__hours_per_week_using_work_computer_hsehld_mngmn__2a60eaedef,attr_life_context_and_constraints__hours_per_week_using_work_computer_job__7d74520a35,hours per week using work computer hsehld mngmn,hours per week using work computer job,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9321,0.8235,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8749,not_related,keep_separate,none,0.9,Hours per week using work computer for different contexts (household management vs job); distinct constructs.,0.8791,openai,gpt-4.1-mini
