source_final_attribute_id,target_final_attribute_id,source_label,target_label,relation_type,edge_weight,max_llm_confidence,supporting_pair_count,supporting_pair_ids_json
attr_domain_specific_overlays__strength_of_affiliation_no_volunteered_response_on_web__bf4ad81f19,attr_domain_specific_overlays__strength_of_affiliation_with_volunteered_response_on_w__5d6b2c0cbf,strength of affiliation (no volunteered response on web),strength of affiliation (with volunteered response on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_streng__attr_domain_specific_overlays_streng__06987c5e6ad2""]"
attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__2e31058e42,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,percent of people who shopped at the supermarket during childhood who were some,percent of people who shopped at the supermarket during childhood who were white,related_but_distinct,0.522,0.9,1,"[""pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__8b33314963f3""]"
attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__3d9e4b77d5,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__fb8aaad2ce,percent of people who shopped at the supermarket during childhood who were asian,percent of people who shopped at the supermarket during childhood who were black,related_but_distinct,0.551,0.95,1,"[""pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__1ca255bbc90c""]"
merged_attr_3da731c5d092,attr_domain_specific_overlays__feelings_about_the_bible_with_volunteered_response_on__7b58179870,describe your feelings about the bible,feelings about the bible (with volunteered response on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_feelin__attr_domain_specific_overlays_feelin__1e5d9fe215fa""]"
attr_life_context_and_constraints__who_r_thinks_should_be_most_responsible_for_cost_of_xs__b6cae17ae0,attr_life_context_and_constraints__who_r_thinks_should_be_next_most_responsible_for_cost__3c8d8f893e,who r thinks should be most responsible for cost of xs medical care,who r thinks should be next most responsible for cost of xs medical care,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_wh__89ef9828f60d""]"
attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__fb8aaad2ce,percent of people who shopped at the supermarket during childhood who were white,percent of people who shopped at the supermarket during childhood who were black,inverse_pole,0.817,0.95,1,"[""pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__afca2bb2b91e""]"
attr_domain_specific_overlays__divorce_laws_no_volunteered_response_on_web__046c131099,attr_domain_specific_overlays__divorce_laws_with_volunteered_response_on_web__373bfcb145,divorce laws (no volunteered response on web),divorce laws (with volunteered response on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_divorc__attr_domain_specific_overlays_divorc__5ea177b5bd9d""]"
attr_life_context_and_constraints__respondent_s_industry_code_1970__e18a463178,merged_attr_3a94d0d57933,respondent's industry code (1970),spouse's industry code (1970),related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_re__attr_life_context_and_constraints_sp__ce4471ebe2d6""]"
attr_life_context_and_constraints__all_other_income_past_12_months_use_adjinc_to_adjust_t__fe9838cdd0,attr_life_context_and_constraints__public_assistance_income_past_12_months_use_adjinc_to__fe297feec8,All other income past 12 months (use ADJINC to adjust to constant dollars),Public assistance income past 12 months (use ADJINC to adjust to constant dollars),related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_al__attr_life_context_and_constraints_pu__acf8f628b2ab""]"
attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__3d9e4b77d5,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,percent of people who shopped at the supermarket during childhood who were asian,percent of people who shopped at the supermarket during childhood who were white,inverse_pole,0.817,0.95,1,"[""pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__d6edc985072f""]"
attr_life_context_and_constraints__all_other_income_past_12_months_use_adjinc_to_adjust_t__fe9838cdd0,attr_life_context_and_constraints__retirement_income_past_12_months_use_adjinc_to_adjust__1fca0ceb6f,All other income past 12 months (use ADJINC to adjust to constant dollars),Retirement income past 12 months (use ADJINC to adjust to constant dollars),related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_al__attr_life_context_and_constraints_re__6fd0f9dca9f5""]"
attr_demographics_and_population__is_r_us_citizen_no_volunteered_response_on_web__3320a635de,attr_demographics_and_population__is_r_us_citizen_with_volunteered_response_on_web__6d66b450bc,is r us citizen (no volunteered response on web),is r us citizen (with volunteered response on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_is__attr_demographics_and_population_is__70b5e19d43fb""]"
attr_cognitive_and_capability_pro__respondent_s_highest_degree__35ce2ba9d9,attr_cognitive_and_capability_pro__spouse_s_highest_degree__325442991a,respondent's highest degree,spouse's highest degree,related_but_distinct,0.551,0.95,1,"[""pair_attr_cognitive_and_capability_pro_re__attr_cognitive_and_capability_pro_sp__bc919c6df553""]"
attr_life_context_and_constraints__government_should_verify_financial_assets__e6edad635e,attr_life_context_and_constraints__government_should_verify_spouse_s_financial_assets__c1b2b5d69d,government should verify financial assets,government should verify spouse's financial assets,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_go__attr_life_context_and_constraints_go__87285172e9c8""]"
attr_life_context_and_constraints__migration_puma_based_on_2020_census_definition__7f04c96215,attr_life_context_and_constraints__place_of_work_puma_based_on_2020_census_definition__4bdfd17199,Migration PUMA based on 2020 Census definition,Place of work PUMA based on 2020 Census definition,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_mi__attr_life_context_and_constraints_pl__d2472ad72eff""]"
merged_attr_daf77739ac86,attr_life_context_and_constraints__respondent_s_industry_code_1970__e18a463178,father's industry code (1970),respondent's industry code (1970),related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_fa__attr_life_context_and_constraints_re__82ba6b31430d""]"
attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__f14635a675,percent of people who shopped at the supermarket during childhood who were white,percent of people who shopped at the supermarket during childhood who were latin,related_but_distinct,0.551,0.95,1,"[""pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__c2cdb961db10""]"
attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__2e31058e42,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__f14635a675,percent of people who shopped at the supermarket during childhood who were some,percent of people who shopped at the supermarket during childhood who were latin,related_but_distinct,0.522,0.9,1,"[""pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__8269df4df2de""]"
attr_life_context_and_constraints__respondent_s_father_s_occupation_2010_census_and_2008__3355c5f482,attr_life_context_and_constraints__respondent_s_spouse_s_occupation_2010_census_and_2008__a5f44acc0d,"respondent's father's occupation, 2010 census & 2008 isco code","respondent's spouse's occupation, 2010 census & 2008 isco code",related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_re__attr_life_context_and_constraints_re__38b24822234d""]"
attr_worldview_beliefs_and_attitu__expect_us_in_world_war_in_next_10_years_no_volunteered__984b55cd46,attr_worldview_beliefs_and_attitu__expect_us_in_world_war_in_next_10_years_volunteered_re__f224588b5d,expect us in world war in next 10 years (no volunteered response on web),expect us in world war in next 10 years (volunteered response on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_ex__attr_worldview_beliefs_and_attitu_ex__f6955c09a788""]"
attr_life_context_and_constraints__run_out_of_time_before_getting_things_done_at_home__d66546e708,attr_life_context_and_constraints__run_out_of_time_before_getting_things_done_at_work__87f1cd167c,run out of time before getting things done at home,run out of time before getting things done at work,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_ru__attr_life_context_and_constraints_ru__2ad57a65f7d4""]"
attr_personality_traits__get_upset_when_others_don_t_notice_how_i_look__e4f9e37b92,attr_personality_traits__get_upset_when_others_notice_how_i_look__6025024a74,Get upset when others don't notice how I look.,Get upset when others notice how I look.,conflicts_with,0.738,0.9,1,"[""pair_attr_personality_traits_get_upset_wh__attr_personality_traits_get_upset_wh__19d8ba326b07""]"
attr_domain_specific_overlays__has_aids_victim_2nd_closest_to_r_died__752106244e,attr_domain_specific_overlays__has_aids_victim_closest_to_r_died__03a3f52cfd,has aids victim 2nd closest to r died,has aids victim closest to r died,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_has_ai__attr_domain_specific_overlays_has_ai__83c239f2b3a9""]"
attr_domain_specific_overlays__has_aids_victim_3rd_closest_to_r_died__87dac4b0d5,attr_domain_specific_overlays__has_aids_victim_closest_to_r_died__03a3f52cfd,has aids victim 3rd closest to r died,has aids victim closest to r died,broader_than,0.663,0.85,1,"[""pair_attr_domain_specific_overlays_has_ai__attr_domain_specific_overlays_has_ai__8840262fec05""]"
attr_personality_traits__am_considered_attractive_by_others__a06431195f,attr_personality_traits__am_not_considered_attractive_by_others__4ff17451bd,Am considered attractive by others.,Am not considered attractive by others.,inverse_pole,0.817,0.95,1,"[""pair_attr_personality_traits_am_considere__attr_personality_traits_am_not_consi__baaf8b424964""]"
attr_life_context_and_constraints__spouse_s_occupational_prestige_score_1970__738caadc9c,attr_life_context_and_constraints__spouse_s_occupational_prestige_score_1980__302b92390a,spouse's occupational prestige score (1970),spouse's occupational prestige score (1980),related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_sp__attr_life_context_and_constraints_sp__fe95e678d92c""]"
attr_domain_specific_overlays__voting_intention_in_2024_election_post_july_25_2024__b2e0395310,attr_domain_specific_overlays__voting_intention_in_2024_election_pre_july_25_2024__b25ae17dcc,voting intention in 2024 election (post july 25 2024),voting intention in 2024 election (pre july 25 2024),related_but_distinct,0.551,0.95,1,"[""pair_attr_domain_specific_overlays_voting__attr_domain_specific_overlays_voting__e132d592e41c""]"
attr_life_context_and_constraints__school_frarternity1_meets_in_this_area__7b892ccc4e,merged_attr_8826b0303a81,school frarternity1 meets in this area,school frarternity2 meets in this area,related_but_distinct,0.551,0.95,2,"[""pair_attr_life_context_and_constraints_sc__attr_life_context_and_constraints_sc__950032930d07"", ""pair_attr_life_context_and_constraints_sc__attr_life_context_and_constraints_sc__438e063b959e""]"
attr_life_context_and_constraints__father_s_occupational_prestige_score_1970__4f65483788,attr_life_context_and_constraints__father_s_occupational_prestige_score_1980__671255b36c,father's occupational prestige score (1970),father's occupational prestige score (1980),related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_fa__attr_life_context_and_constraints_fa__6683ae074a9b""]"
attr_cognitive_and_capability_pro__highest_schl_grade_of_r_6th_child__89bb6fd729,merged_attr_17c0385c417d,highest schl grade of r 6th child,highest schl grade of r 7th child,related_but_distinct,0.551,0.95,3,"[""pair_attr_cognitive_and_capability_pro_hi__attr_cognitive_and_capability_pro_hi__761658927a60"", ""pair_attr_cognitive_and_capability_pro_hi__attr_cognitive_and_capability_pro_hi__0b0b4cd2cc8a"", ""pair_attr_cognitive_and_capability_pro_hi__attr_cognitive_and_capability_pro_hi__44941f3c6f51""]"
attr_life_context_and_constraints__political_club1_meets_in_this_area__5fa76cb0f3,attr_life_context_and_constraints__political_club2_meets_in_this_area__0b9a6686ae,political club1 meets in this area,political club2 meets in this area,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_po__attr_life_context_and_constraints_po__ff02433df158""]"
attr_demographics_and_population__r_had_sexual_contact_with_leader1__c96cb14a3d,merged_attr_3e83d7b4de98,r had sexual contact with leader1,r had sexual contact with leader2,related_but_distinct,0.551,0.95,2,"[""pair_attr_demographics_and_population_r_h__attr_demographics_and_population_r_h__17da171a1127"", ""pair_attr_demographics_and_population_r_h__attr_demographics_and_population_r_h__5ad0134b9319""]"
attr_life_context_and_constraints__respondent_s_social_rank_10_years_ago__fac40207e7,attr_life_context_and_constraints__respondent_s_social_rank_10_years_later__c2c5f9f34a,respondent's social rank 10 years ago,respondent's social rank 10 years later,inverse_pole,0.774,0.9,1,"[""pair_attr_life_context_and_constraints_re__attr_life_context_and_constraints_re__4b0fb4326344""]"
merged_attr_60ce2e8911c9,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group3__07029aedac,how many years r born a member of informal group1,how many years r born a member of informal group3,related_but_distinct,0.551,0.95,2,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__3e21a9ae5d3b"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__6194938fc9bf""]"
merged_attr_b9b8d1ac1e41,attr_demographics_and_population__leader3_tried_to_keep_r_from_telling_other_people_abou__1dd2d22af5,leader1 tried to keep r from telling other people about the relationship,leader3 tried to keep r from telling other people about the relationship,related_but_distinct,0.551,0.95,2,"[""pair_attr_demographics_and_population_lea__attr_demographics_and_population_lea__b532e4f0a21d"", ""pair_attr_demographics_and_population_lea__attr_demographics_and_population_lea__56edce9fa86f""]"
attr_demographics_and_population__region_of_aids_victim_2nd_closest_to_r__9120221b37,attr_demographics_and_population__region_of_aids_victim_closest_to_r__7a794bb011,region of aids victim 2nd closest to r,region of aids victim closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_reg__attr_demographics_and_population_reg__221dda08225b""]"
attr_demographics_and_population__is_r_planning_appling_for_us_citizenship_or_not_no_vol__c10423ba73,attr_demographics_and_population__is_r_planning_appling_for_us_citizenship_or_not_with_v__11cf15b0d4,is r planning/appling for us citizenship or not (no volunteered response on web),is r planning/appling for us citizenship or not (with volunteered response on we,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_is__attr_demographics_and_population_is__6e21b12c48d3""]"
attr_life_context_and_constraints__school_service_group1_meets_in_this_area__f6a37f1dc9,attr_life_context_and_constraints__school_service_group2_meets_in_this_area__c4b1b79cf2,school service group1 meets in this area,school service group2 meets in this area,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_sc__attr_life_context_and_constraints_sc__79871c513390""]"
attr_cognitive_and_capability_pro__highest_schl_grade_of_r_5th_child__be3874fd44,attr_cognitive_and_capability_pro__highest_schl_grade_of_r_6th_child__89bb6fd729,highest schl grade of r 5th child,highest schl grade of r 6th child,related_but_distinct,0.551,0.95,1,"[""pair_attr_cognitive_and_capability_pro_hi__attr_cognitive_and_capability_pro_hi__b911e4de678c""]"
attr_life_context_and_constraints__which_group_meet_name1__f41cd9e81a,attr_life_context_and_constraints__which_group_meet_name2__bf87911c3a,which group meet name1,which group meet name2,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_wh__a7217d64dc27""]"
attr_life_context_and_constraints__how_many_years_r_born_a_member_of_national_group1__4aef6e4d2c,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_national_group2__4a97f490d1,how many years r born a member of national group1,how many years r born a member of national group2,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__9e45a1f2d2da""]"
attr_life_context_and_constraints__respondent_s_census_occupation_code_1970__dfa1ccbbda,attr_life_context_and_constraints__respondent_s_census_occupation_code_1980__de2b7a9c1b,respondent's census occupation code (1970),respondent's census occupation code (1980),related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_re__attr_life_context_and_constraints_re__ae5517b53ea5""]"
attr_demographics_and_population__r_had_an_ongoing_relationship_with_leader1__a3dfc9fff7,attr_demographics_and_population__r_had_an_ongoing_relationship_with_leader3__746f0316a2,r had an ongoing relationship with leader1,r had an ongoing relationship with leader3,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_r_h__attr_demographics_and_population_r_h__2082e9439e5d""]"
attr_demographics_and_population__r_sibling_occupational_prestige_score_1980__9d1f4bf664,attr_demographics_and_population__r_sibling_occupational_prestige_score_2010__462f9a3713,r sibling occupational prestige score (1980),r sibling occupational prestige score (2010),related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_r_s__attr_demographics_and_population_r_s__8fa5efa6bc0a""]"
attr_life_context_and_constraints__which_group_meet_name3__a85101ef67,attr_life_context_and_constraints__which_group_meet_name4__39e7d77735,which group meet name3,which group meet name4,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_wh__e777cf9e4f11""]"
attr_demographics_and_population__age_of_aids_victim_2nd_closest_to_r__fe0477e5ca,attr_demographics_and_population__age_of_aids_victim_closest_to_r__27b68c93d5,age of aids victim 2nd closest to r,age of aids victim closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_age__attr_demographics_and_population_age__55821cf821dc""]"
attr_domain_specific_overlays__has_aids_victim_2nd_closest_to_r_died__752106244e,attr_domain_specific_overlays__has_aids_victim_3rd_closest_to_r_died__87dac4b0d5,has aids victim 2nd closest to r died,has aids victim 3rd closest to r died,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_has_ai__attr_domain_specific_overlays_has_ai__ca9b45288111""]"
attr_life_context_and_constraints__youth_group1_meets_in_this_area__f325cc656c,attr_life_context_and_constraints__youth_group2_meets_in_this_area__32f01a0451,youth group1 meets in this area,youth group2 meets in this area,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_yo__attr_life_context_and_constraints_yo__d9f54d2a423b""]"
attr_demographics_and_population__best_way_to_org_family_work_life_with_under_school_age__7d6d518c6b,attr_demographics_and_population__wor_st_way_to_org_family_work_life_with_under_school_a__b43644dc65,best way to org family work life with under school age child,wor'st way to org family work life with under school age child,inverse_pole,0.774,0.9,1,"[""pair_attr_demographics_and_population_bes__attr_demographics_and_population_wor__6e63cd582793""]"
attr_demographics_and_population__sex_of_aids_victim_2nd_closest_to_r__ca16d15e8e,attr_demographics_and_population__sex_of_aids_victim_closest_to_r__d9cf438094,sex of aids victim 2nd closest to r,sex of aids victim closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_sex__attr_demographics_and_population_sex__1a2457a40081""]"
attr_demographics_and_population__people_fair_or_try_to_take_advantage_no_volunteered_re__4477f70405,attr_demographics_and_population__people_fair_or_try_to_take_advantage_with_volunteered__11d0207c02,people fair or try to take advantage (no volunteered response on web),people fair or try to take advantage (with volunteered resposne on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_peo__attr_demographics_and_population_peo__2697c7fa8317""]"
attr_demographics_and_population__presence_of_persons_60_years_and_over_in_household_unw__6496331255,attr_demographics_and_population__presence_of_persons_65_years_and_over_in_household_unw__e2ae5fdb6e,Presence of persons 60 years and over in household (unweighted),Presence of persons 65 years and over in household (unweighted),related_but_distinct,0.493,0.85,1,"[""pair_attr_demographics_and_population_pre__attr_demographics_and_population_pre__5f979eaead05""]"
attr_life_context_and_constraints__informal_group1_meets_in_this_area__1c72d5fc3d,attr_life_context_and_constraints__informal_group2_meets_in_this_area__8aa1a044b7,informal group1 meets in this area,informal group2 meets in this area,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_in__attr_life_context_and_constraints_in__4ca6a6f01421""]"
attr_life_context_and_constraints__farm_organization1_meets_in_this_area__77c547ff9d,attr_life_context_and_constraints__farm_organization2_meets_in_this_area__d1a170526d,farm organization1 meets in this area,farm organization2 meets in this area,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_fa__attr_life_context_and_constraints_fa__5c04e950acad""]"
attr_cognitive_and_capability_pro__highest_schl_grade_of_r_4th_child__46fbcf0534,attr_cognitive_and_capability_pro__highest_schl_grade_of_r_5th_child__be3874fd44,highest schl grade of r 4th child,highest schl grade of r 5th child,related_but_distinct,0.522,0.9,1,"[""pair_attr_cognitive_and_capability_pro_hi__attr_cognitive_and_capability_pro_hi__26e0bb6f03b4""]"
merged_attr_60ce2e8911c9,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group4__9ecf93d07f,how many years r born a member of informal group1,how many years r born a member of informal group4,related_but_distinct,0.493,0.85,2,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__03cbaccf3237"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__cfd61eaa33d7""]"
attr_life_context_and_constraints__2nd_mention_what_nervous_breakdown_is_imputed__773ba9e5cb,attr_life_context_and_constraints__3rd_mention_what_nervous_breakdown_is_imputed__57c4678f91,"2nd mention, what nervous breakdown is, imputed","3rd mention, what nervous breakdown is, imputed",related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_2n__attr_life_context_and_constraints_3r__821fd8d890a6""]"
attr_life_context_and_constraints__veteran_group1_meets_in_this_area__10549286b0,attr_life_context_and_constraints__veteran_group2_meets_in_this_area__33197e1909,veteran group1 meets in this area,veteran group2 meets in this area,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ve__attr_life_context_and_constraints_ve__be82848e68ac""]"
attr_life_context_and_constraints__which_group_meet_name1__f41cd9e81a,attr_life_context_and_constraints__which_group_meet_name4__39e7d77735,which group meet name1,which group meet name4,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_wh__f56a7f0d2496""]"
attr_life_context_and_constraints__which_group_meet_name1__f41cd9e81a,attr_life_context_and_constraints__which_group_meet_name3__a85101ef67,which group meet name1,which group meet name3,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_wh__60687d1f8931""]"
attr_life_context_and_constraints__military_group1_meets_in_this_area__4f3d293289,attr_life_context_and_constraints__military_group2_meets_in_this_area__ac98e67c77,military group1 meets in this area,military group2 meets in this area,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_mi__attr_life_context_and_constraints_mi__6a8f1880ed9c""]"
attr_life_context_and_constraints__political_club2_meets_in_this_area__0b9a6686ae,attr_life_context_and_constraints__political_club3_meets_in_this_area__efd14e5a99,political club2 meets in this area,political club3 meets in this area,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_po__attr_life_context_and_constraints_po__a1eebecc92a3""]"
attr_life_context_and_constraints__labor_union1_meets_in_this_area__0cb74c57f3,attr_life_context_and_constraints__labor_union2_meets_in_this_area__3d3e508488,labor union1 meets in this area,labor union2 meets in this area,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_la__attr_life_context_and_constraints_la__6c9dffd686a2""]"
attr_demographics_and_population__region_of_aids_victim_2nd_closest_to_r__9120221b37,attr_demographics_and_population__region_of_aids_victim_3rd_closest_to_r__0e50788812,region of aids victim 2nd closest to r,region of aids victim 3rd closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_reg__attr_demographics_and_population_reg__d3b8581e5290""]"
attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group3__07029aedac,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group4__9ecf93d07f,how many years r born a member of informal group3,how many years r born a member of informal group4,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__08d37c8061ac""]"
attr_life_context_and_constraints__political_club1_meets_in_this_area__5fa76cb0f3,attr_life_context_and_constraints__political_club3_meets_in_this_area__efd14e5a99,political club1 meets in this area,political club3 meets in this area,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_po__attr_life_context_and_constraints_po__02ae17524315""]"
