final_attribute_id,member_attribute_id,member_label,is_representative,member_rank,member_source_count,member_quality_score
attr_behavioral_patterns_and_pref__do_you_feel_your_cultural_background_influences_your_d__9fd1f232a0,attr_behavioral_patterns_and_pref__do_you_feel_your_cultural_background_influences_your_d__9fd1f232a0,Do you feel your cultural background influences your daily decisions?,true,0,1,86
attr_behavioral_patterns_and_pref__do_you_have_access_to_high_speed_internet_at_home__fb5bd9105a,attr_behavioral_patterns_and_pref__do_you_have_access_to_high_speed_internet_at_home__fb5bd9105a,Do you have access to high-speed internet at home?,true,0,1,86
attr_behavioral_patterns_and_pref__do_you_prefer_to_plan_ahead_or_act_spontaneously_in_mo__425c07e632,attr_behavioral_patterns_and_pref__do_you_prefer_to_plan_ahead_or_act_spontaneously_in_mo__425c07e632,Do you prefer to plan ahead or act spontaneously in most areas of your life?,true,0,1,86
attr_behavioral_patterns_and_pref__do_you_regularly_interact_with_people_from_different_c__cd31d9bc1f,attr_behavioral_patterns_and_pref__do_you_regularly_interact_with_people_from_different_c__cd31d9bc1f,Do you regularly interact with people from different cultural backgrounds?,true,0,1,86
attr_behavioral_patterns_and_pref__do_you_tend_to_adapt_your_behavior_depending_on_who_yo__49bb6b64e2,attr_behavioral_patterns_and_pref__do_you_tend_to_adapt_your_behavior_depending_on_who_yo__49bb6b64e2,Do you tend to adapt your behavior depending on who you’re with?,true,0,1,86
attr_behavioral_patterns_and_pref__does_r_have_telephone__6c5cb522a5,attr_behavioral_patterns_and_pref__does_r_have_telephone__6c5cb522a5,does r have telephone,true,0,1,92
attr_behavioral_patterns_and_pref__does_r_know_what_a_computer_virus_is__7c96fe7f38,attr_behavioral_patterns_and_pref__does_r_know_what_a_computer_virus_is__7c96fe7f38,does r know what a computer virus is,true,0,1,90
attr_behavioral_patterns_and_pref__does_r_or_spouse_hunt__1ce14cf439,attr_behavioral_patterns_and_pref__does_r_or_spouse_hunt__1ce14cf439,does r or spouse hunt,true,0,1,90
attr_behavioral_patterns_and_pref__early_vs_late_adopter__5d57087704,attr_behavioral_patterns_and_pref__early_vs_late_adopter__5d57087704,Early vs late adopter,true,0,1,72
attr_behavioral_patterns_and_pref__emoji_emoticon_use__4c9c6db282,attr_behavioral_patterns_and_pref__emoji_emoticon_use__4c9c6db282,Emoji / emoticon use,true,0,1,72
attr_behavioral_patterns_and_pref__exercise_frequency__a62b1f5395,attr_behavioral_patterns_and_pref__exercise_frequency__a62b1f5395,Exercise frequency,true,0,1,72
attr_behavioral_patterns_and_pref__film_art_house__29604eb109,attr_behavioral_patterns_and_pref__film_art_house__29604eb109,Film: Art house,true,0,1,72
attr_behavioral_patterns_and_pref__gaming_frequency__3dadc20383,attr_behavioral_patterns_and_pref__gaming_frequency__3dadc20383,Gaming frequency,true,0,1,72
attr_behavioral_patterns_and_pref__have_you_learned_traditional_skills_arts_or_crafts_fro__36fddfe0d9,attr_behavioral_patterns_and_pref__have_you_learned_traditional_skills_arts_or_crafts_fro__36fddfe0d9,"Have you learned traditional skills, arts, or crafts from your culture?",true,0,1,86
attr_behavioral_patterns_and_pref__have_you_purchased_a_used_car_past_5_yrs__ef481b7412,attr_behavioral_patterns_and_pref__have_you_purchased_a_used_car_past_5_yrs__ef481b7412,have you purchased a used car past 5 yrs?,true,0,1,90
attr_behavioral_patterns_and_pref__having_serious_trouble_with_spouse__7efee661e6,attr_behavioral_patterns_and_pref__having_serious_trouble_with_spouse__7efee661e6,having serious trouble with spouse,true,0,1,90
merged_attr_60de66c3cbec,attr_behavioral_patterns_and_pref__hobbies_and_interests__f1a0121137,Hobbies And Interests,true,0,1,80
merged_attr_60de66c3cbec,attr_behavioral_patterns_and_pref__hobbies_and_interests_list__32291f9017,Hobbies And Interests List,false,1,1,80
attr_behavioral_patterns_and_pref__hobby_intensity__4c68863806,attr_behavioral_patterns_and_pref__hobby_intensity__4c68863806,Hobby intensity,true,0,1,72
attr_behavioral_patterns_and_pref__hours_per_day_listening_to_radio__9e1abd5386,attr_behavioral_patterns_and_pref__hours_per_day_listening_to_radio__9e1abd5386,hours per day listening to radio,true,0,1,92
attr_behavioral_patterns_and_pref__hours_per_day_watching_tv__8d6c62def4,attr_behavioral_patterns_and_pref__hours_per_day_watching_tv__8d6c62def4,hours per day watching tv,true,0,1,92
attr_behavioral_patterns_and_pref__how_comfortable_are_you_in_new_social_situations__6687fe84d3,attr_behavioral_patterns_and_pref__how_comfortable_are_you_in_new_social_situations__6687fe84d3,How comfortable are you in new social situations?,true,0,1,86
attr_behavioral_patterns_and_pref__how_concerned_are_you_about_biodiversity_loss__ac0644c1b1,attr_behavioral_patterns_and_pref__how_concerned_are_you_about_biodiversity_loss__ac0644c1b1,How concerned are you about biodiversity loss?,true,0,1,86
attr_behavioral_patterns_and_pref__how_concerned_are_you_about_your_online_privacy__0d24963723,attr_behavioral_patterns_and_pref__how_concerned_are_you_about_your_online_privacy__0d24963723,How concerned are you about your online privacy?,true,0,1,86
attr_behavioral_patterns_and_pref__how_connected_do_you_feel_to_your_local_community__2eaa060d84,attr_behavioral_patterns_and_pref__how_connected_do_you_feel_to_your_local_community__2eaa060d84,How connected do you feel to your local community?,true,0,1,86
attr_behavioral_patterns_and_pref__how_do_you_feel_when_others_recognize_your_achievement__5bad0be240,attr_behavioral_patterns_and_pref__how_do_you_feel_when_others_recognize_your_achievement__5bad0be240,How do you feel when others recognize your achievements?,true,0,1,86
attr_behavioral_patterns_and_pref__how_do_you_spend_your_time_away_from_work_or_routine_d__6577ae6a2d,attr_behavioral_patterns_and_pref__how_do_you_spend_your_time_away_from_work_or_routine_d__6577ae6a2d,How do you spend your time away from work or routine day to day tasks?,true,0,1,86
attr_behavioral_patterns_and_pref__how_do_you_stay_motivated_when_things_don_t_go_as_plan__ba4e4fffeb,attr_behavioral_patterns_and_pref__how_do_you_stay_motivated_when_things_don_t_go_as_plan__ba4e4fffeb,How do you stay motivated when things don’t go as planned?,true,0,1,86
attr_behavioral_patterns_and_pref__how_do_you_usually_connect_with_new_people__b1eba6dc5c,attr_behavioral_patterns_and_pref__how_do_you_usually_connect_with_new_people__b1eba6dc5c,How do you usually connect with new people?,true,0,1,86
attr_behavioral_patterns_and_pref__how_do_you_usually_spend_your_weekends__6d4496597a,attr_behavioral_patterns_and_pref__how_do_you_usually_spend_your_weekends__6d4496597a,How do you usually spend your weekends?,true,0,1,86
attr_behavioral_patterns_and_pref__how_familiar_r_is_with_term_advanced_search__fa02c6ac2e,attr_behavioral_patterns_and_pref__how_familiar_r_is_with_term_advanced_search__fa02c6ac2e,how familiar r is with term advanced search,true,0,1,90
attr_behavioral_patterns_and_pref__how_frequently_do_you_dine_out_or_order_takeout__30422c1bf0,attr_behavioral_patterns_and_pref__how_frequently_do_you_dine_out_or_order_takeout__30422c1bf0,How frequently do you dine out or order takeout?,true,0,1,86
attr_behavioral_patterns_and_pref__how_frequently_do_you_travel_for_leisure__1ae57d5e30,attr_behavioral_patterns_and_pref__how_frequently_do_you_travel_for_leisure__1ae57d5e30,How frequently do you travel for leisure?,true,0,1,86
attr_behavioral_patterns_and_pref__how_important_is_voting_to_you__3b03da92ff,attr_behavioral_patterns_and_pref__how_important_is_voting_to_you__3b03da92ff,How important is voting to you?,true,0,1,86
attr_behavioral_patterns_and_pref__how_many_friends_discuss_problems_via_email__f2c2de6a3e,attr_behavioral_patterns_and_pref__how_many_friends_discuss_problems_via_email__f2c2de6a3e,how many friends discuss problems via email,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_do_you_engage_in_physical_exercise__7ec3045a43,attr_behavioral_patterns_and_pref__how_often_do_you_engage_in_physical_exercise__7ec3045a43,How often do you engage in physical exercise?,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_feel_lonely__65b19c0d15,attr_behavioral_patterns_and_pref__how_often_do_you_feel_lonely__65b19c0d15,How often do you feel lonely?,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_feel_stressed_in_daily_life__daaa954321,attr_behavioral_patterns_and_pref__how_often_do_you_feel_stressed_in_daily_life__daaa954321,How often do you feel stressed in daily life?,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_listen_to_podcasts__6f5f574807,attr_behavioral_patterns_and_pref__how_often_do_you_listen_to_podcasts__6f5f574807,How often do you listen to podcasts?,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_meet_with_friends_or_family_in_person__ed236c2205,attr_behavioral_patterns_and_pref__how_often_do_you_meet_with_friends_or_family_in_person__ed236c2205,How often do you meet with friends or family in person?,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_shop_online_for_non_essential_items__92838ba8bb,attr_behavioral_patterns_and_pref__how_often_do_you_shop_online_for_non_essential_items__92838ba8bb,How often do you shop online for non-essential items?,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_socialize_with_others_online_or_in_pe__4fdbec8d10,attr_behavioral_patterns_and_pref__how_often_do_you_socialize_with_others_online_or_in_pe__4fdbec8d10,How often do you socialize with others (online or in person)?,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_try_new_products_services_or_experien__aee7fb3b22,attr_behavioral_patterns_and_pref__how_often_do_you_try_new_products_services_or_experien__aee7fb3b22,"How often do you try new products, services, or experiences?",true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_use_ai_tools_like_chatgpt_or_midjourn__386285d743,attr_behavioral_patterns_and_pref__how_often_do_you_use_ai_tools_like_chatgpt_or_midjourn__386285d743,How often do you use AI tools like ChatGPT or Midjourney?,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_use_dating_apps__512bd80676,attr_behavioral_patterns_and_pref__how_often_do_you_use_dating_apps__512bd80676,How often do you use dating apps?,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_use_social_media_apps__11c76e2792,attr_behavioral_patterns_and_pref__how_often_do_you_use_social_media_apps__11c76e2792,How often do you use social media apps?,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_use_the_internet__eb02e6cd95,attr_behavioral_patterns_and_pref__how_often_do_you_use_the_internet__eb02e6cd95,How often do you use the internet,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_watch_traditional_cable_or_satellite__bbf82c60a6,attr_behavioral_patterns_and_pref__how_often_do_you_watch_traditional_cable_or_satellite__bbf82c60a6,How often do you watch traditional cable or satellite TV?,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_do_you_worry_about_being_treated_unfairly_be__ca0a2b3437,attr_behavioral_patterns_and_pref__how_often_do_you_worry_about_being_treated_unfairly_be__ca0a2b3437,How often do you worry about being treated unfairly because of your race or ethnicity?,true,0,1,86
attr_behavioral_patterns_and_pref__how_often_does_r_call_best_friend__9446969d88,attr_behavioral_patterns_and_pref__how_often_does_r_call_best_friend__9446969d88,how often does r call best friend,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_contact_brothers_or_sister_s_in_law__9f13398017,attr_behavioral_patterns_and_pref__how_often_does_r_contact_brothers_or_sister_s_in_law__9f13398017,how often does r contact brothers or sister's-in-law,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_contact_by_telephone_or_letter__83ed189a19,attr_behavioral_patterns_and_pref__how_often_does_r_contact_by_telephone_or_letter__83ed189a19,how often does r contact by telephone or letter,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_contact_cousin__81313838d0,attr_behavioral_patterns_and_pref__how_often_does_r_contact_cousin__81313838d0,how often does r contact cousin,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_contact_father_by_telephone__bed1bef369,attr_behavioral_patterns_and_pref__how_often_does_r_contact_father_by_telephone__bed1bef369,how often does r contact father by telephone,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_contact_god_parents__67988d8c46,attr_behavioral_patterns_and_pref__how_often_does_r_contact_god_parents__67988d8c46,how often does r contact god-parents,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_contact_mother_by_telephone__7c040fa329,attr_behavioral_patterns_and_pref__how_often_does_r_contact_mother_by_telephone__7c040fa329,how often does r contact mother by telephone,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_contact_nieces_and_nephews__9d1ff95500,attr_behavioral_patterns_and_pref__how_often_does_r_contact_nieces_and_nephews__9d1ff95500,how often does r contact nieces and nephews,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_contact_parents_in_law__9c31ff72f2,attr_behavioral_patterns_and_pref__how_often_does_r_contact_parents_in_law__9c31ff72f2,how often does r contact parents-in-law,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_contact_uncles_or_aunts__0d40cf1b24,attr_behavioral_patterns_and_pref__how_often_does_r_contact_uncles_or_aunts__0d40cf1b24,how often does r contact uncles or aunts,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_read_newspaper__0eb2630414,attr_behavioral_patterns_and_pref__how_often_does_r_read_newspaper__0eb2630414,how often does r read newspaper,true,0,1,92
attr_behavioral_patterns_and_pref__how_often_does_r_visit_best_friend__40eca104a4,attr_behavioral_patterns_and_pref__how_often_does_r_visit_best_friend__40eca104a4,how often does r visit best friend,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_visit_father__ae2aa1bcc8,attr_behavioral_patterns_and_pref__how_often_does_r_visit_father__ae2aa1bcc8,how often does r visit father,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_visit_mother__aec1bd2e45,attr_behavioral_patterns_and_pref__how_often_does_r_visit_mother__aec1bd2e45,how often does r visit mother,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_visit_this_sister_or_brother__cef4623368,attr_behavioral_patterns_and_pref__how_often_does_r_visit_this_sister_or_brother__cef4623368,how often does r visit this sister or brother,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_does_r_visit_this_son_or_daughter__23fca5a5ec,attr_behavioral_patterns_and_pref__how_often_does_r_visit_this_son_or_daughter__23fca5a5ec,how often does r visit this son or daughter,true,0,1,90
merged_attr_27bccafa99f3,attr_behavioral_patterns_and_pref__how_often_r_considered_pet_member_of_family__ea9e3d7f72,how often r considered pet member of family,false,0,1,90
merged_attr_27bccafa99f3,attr_behavioral_patterns_and_pref__how_often_r_considers_pet_member_of_family__cccec00aa6,how often r considers pet member of family,true,1,1,90
attr_behavioral_patterns_and_pref__how_often_r_s_friends_or_family_were_angry_with_r__1163ed7e96,attr_behavioral_patterns_and_pref__how_often_r_s_friends_or_family_were_angry_with_r__1163ed7e96,how often r's friends or family were angry with r,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_r_uses_bookmarks__3b56fc4352,attr_behavioral_patterns_and_pref__how_often_r_uses_bookmarks__3b56fc4352,how often r uses bookmarks,true,0,1,90
attr_behavioral_patterns_and_pref__how_often_r_uses_web_directories__573b69b937,attr_behavioral_patterns_and_pref__how_often_r_uses_web_directories__573b69b937,how often r uses web directories,true,0,1,90
attr_behavioral_patterns_and_pref__how_welcome_do_you_feel_in_your_community__1f43853a9b,attr_behavioral_patterns_and_pref__how_welcome_do_you_feel_in_your_community__1f43853a9b,How welcome do you feel in your community?,true,0,1,86
attr_behavioral_patterns_and_pref__how_would_you_rate_your_overall_health__f85cc24b79,attr_behavioral_patterns_and_pref__how_would_you_rate_your_overall_health__f85cc24b79,How would you rate your overall health?,true,0,1,86
attr_behavioral_patterns_and_pref__how_you_and_your_spouse_organize_your_finances__3595f48b67,attr_behavioral_patterns_and_pref__how_you_and_your_spouse_organize_your_finances__3595f48b67,how you and your spouse organize your finances,true,0,1,90
attr_behavioral_patterns_and_pref__indoor_vs_outdoor__ab6c2058d1,attr_behavioral_patterns_and_pref__indoor_vs_outdoor__ab6c2058d1,Indoor vs outdoor,true,0,1,72
attr_behavioral_patterns_and_pref__interest_3d_printing__b8feaaf883,attr_behavioral_patterns_and_pref__interest_3d_printing__b8feaaf883,Interest: 3D printing,true,0,1,72
attr_behavioral_patterns_and_pref__interest_activism__06ee1b7725,attr_behavioral_patterns_and_pref__interest_activism__06ee1b7725,Interest: Activism,true,0,1,72
