mapping_candidate_id,extended_candidate_id,extended_source,extended_label,extended_category,canonical_attribute_id,canonical_label,canonical_category,heuristic_score,proposed_mapping_weight,weight_basis,shared_token_count,llm_status
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_07_th,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_07_the_world_is_an_abundant_p__c9aa8cea52,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Primal belief #07: The world is an abundant place with tons and tons to offer.,Demographics & Population Grounding,attr_demographics_and_population__primal_belief_07_the_world_is_an_abundant_place_with_t__4722a36aae,Primal belief #07: The world is an abundant place with tons and tons to offer.,Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,8,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_08_no,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_08_no_matter_the_topic_the_wo__3f64a2842d,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),"Primal belief #08: No matter the topic, the world is fascinating.",Demographics & Population Grounding,attr_demographics_and_population__primal_belief_08_no_matter_the_topic_the_world_is_fasc__32d8680874,"Primal belief #08: No matter the topic, the world is fascinating.",Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,8,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_13_mo,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_13_most_things_have_a_habit_o__77b1c12bba,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Primal belief #13: Most things have a habit of getting worse.,Demographics & Population Grounding,attr_demographics_and_population__primal_belief_13_most_things_have_a_habit_of_getting_w__2c170d6208,Primal belief #13: Most things have a habit of getting worse.,Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,8,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_10_on,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_10_on_the_whole_the_world_is__463be864da,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),"Primal belief #10: On the whole, the world is a dangerous place.",Demographics & Population Grounding,attr_demographics_and_population__primal_belief_10_on_the_whole_the_world_is_a_dangerous__eaa6e4de32,"Primal belief #10: On the whole, the world is a dangerous place.",Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,7,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_14_th,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_14_the_universe_needs_me_for__78bbe13157,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Primal belief #14: The universe needs me for something important.,Demographics & Population Grounding,attr_demographics_and_population__primal_belief_14_the_universe_needs_me_for_something_i__79e9ad18e7,Primal belief #14: The universe needs me for something important.,Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,7,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_15_mo,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_15_most_things_in_the_world_a__4f0b06aef5,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Primal belief #15: Most things in the world are good.,Demographics & Population Grounding,attr_demographics_and_population__primal_belief_15_most_things_in_the_world_are_good__b20c0f5dbc,Primal belief #15: Most things in the world are good.,Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,7,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_16_ev,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_16_everything_happens_for_a_r__e69dd7a281,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Primal belief #16: Everything happens for a reason and on purpose.,Demographics & Population Grounding,attr_demographics_and_population__primal_belief_16_everything_happens_for_a_reason_and_o__815857568a,Primal belief #16: Everything happens for a reason and on purpose.,Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,7,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_04_wh,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_04_what_happens_in_the_world__1cfce540ce,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Primal belief #04: What happens in the world is meant to happen.,Demographics & Population Grounding,attr_demographics_and_population__primal_belief_04_what_happens_in_the_world_is_meant_to__fb38a60d11,Primal belief #04: What happens in the world is meant to happen.,Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,6,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_attitudes_ap_att_religious__attr_worldview_beliefs_and_attitu_attitude_religious,deeppersona_auto_extract__attitudes_ap_att_religious_orgs_role_in_inequality__edd7ba85a5,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Attitude: Religious orgs role in inequality,"Worldview, Beliefs & Attitudes",attr_worldview_beliefs_and_attitu__attitude_religious_orgs_role_in_inequality__e2edb5bf1a,Attitude: Religious orgs role in inequality,"Worldview, Beliefs & Attitudes",1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,5,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_attitudes_ap_att_childrens__attr_worldview_beliefs_and_attitu_outlook_childrens,deeppersona_auto_extract__attitudes_ap_att_childrens_standard_of_living_30yr__2f336db7da,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Outlook: Childrens standard of living (30yr),"Worldview, Beliefs & Attitudes",attr_worldview_beliefs_and_attitu__outlook_childrens_standard_of_living_30yr__f1366d09a4,Outlook: Childrens standard of living (30yr),"Worldview, Beliefs & Attitudes",1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,5,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_attitudes_ap_att_genetic_ed__attr_worldview_beliefs_and_attitu_attitude_genetic_e,deeppersona_auto_extract__attitudes_ap_att_genetic_editing_for_disease__bfc586659b,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Attitude: Genetic editing for disease,"Worldview, Beliefs & Attitudes",attr_worldview_beliefs_and_attitu__attitude_genetic_editing_for_disease__936685f0b9,Attitude: Genetic editing for disease,"Worldview, Beliefs & Attitudes",1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,4,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_attitudes_ap_att_corporate__attr_worldview_beliefs_and_attitu_attitude_corporate,deeppersona_auto_extract__attitudes_ap_att_corporate_regulation_and_inequality__99663d9f04,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Attitude: Corporate regulation and inequality,"Worldview, Beliefs & Attitudes",attr_worldview_beliefs_and_attitu__attitude_corporate_regulation_and_inequality__8265bdc238,Attitude: Corporate regulation and inequality,"Worldview, Beliefs & Attitudes",1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,4,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_attitudes_ap_att_us_populat__attr_worldview_beliefs_and_attitu_outlook_us_populat,deeppersona_auto_extract__attitudes_ap_att_us_population_growth__2a15440cfd,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Outlook: US population growth,"Worldview, Beliefs & Attitudes",attr_worldview_beliefs_and_attitu__outlook_us_population_growth__5b6b941777,Outlook: US population growth,"Worldview, Beliefs & Attitudes",1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,4,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_attitudes_ap_att_public_edu__attr_worldview_beliefs_and_attitu_outlook_public_edu,deeppersona_auto_extract__attitudes_ap_att_public_education_30yr__bd677a28c0,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Outlook: Public education (30yr),"Worldview, Beliefs & Attitudes",attr_worldview_beliefs_and_attitu__outlook_public_education_30yr__49c287da4e,Outlook: Public education (30yr),"Worldview, Beliefs & Attitudes",1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,4,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_attitudes_ap_att_race_relat__attr_demographics_and_population_outlook_race_relati,deeppersona_auto_extract__attitudes_ap_att_race_relations_30yr__569610fcbc,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Outlook: Race relations (30yr),Demographics & Population Grounding,attr_demographics_and_population__outlook_race_relations_30yr__bcf62b226f,Outlook: Race relations (30yr),Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,4,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_attitudes_ap_att_role_of_re__attr_worldview_beliefs_and_attitu_outlook_role_of_re,deeppersona_auto_extract__attitudes_ap_att_role_of_religion_30yr__f0744a0a12,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Outlook: Role of religion (30yr),"Worldview, Beliefs & Attitudes",attr_worldview_beliefs_and_attitu__outlook_role_of_religion_30yr__2e2c18dda9,Outlook: Role of religion (30yr),"Worldview, Beliefs & Attitudes",1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,4,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_attitudes_ap_att_reducing_m__attr_worldview_beliefs_and_attitu_attitude_reducing,deeppersona_auto_extract__attitudes_ap_att_reducing_military_spending__be4092092b,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Attitude: Reducing military spending,"Worldview, Beliefs & Attitudes",attr_worldview_beliefs_and_attitu__attitude_reducing_military_spending__55ccbf3a1a,Attitude: Reducing military spending,"Worldview, Beliefs & Attitudes",1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,4,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_health_dp_health_chronic_co__attr_life_context_and_constraints_chronic_condition,deeppersona_auto_extract__health_dp_health_chronic_conditions__d59477c150,DeepPersona auto-extracted local proposal (proposed_ATTR_sourced.json),Chronic Conditions,Life Context & Constraints,attr_life_context_and_constraints__chronic_condition__37f6b2b18b,Chronic condition,Life Context & Constraints,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,3,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_health_dp_health_physical_f__attr_life_context_and_constraints_fitness_level_8ade,deeppersona_auto_extract__health_dp_health_physical_fitness__1efe3d896d,DeepPersona auto-extracted local proposal (proposed_ATTR_sourced.json),Physical Fitness,Life Context & Constraints,attr_life_context_and_constraints__fitness_level__8ade53802f,Fitness level,Life Context & Constraints,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,3,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_health_dp_health_chronic_co__attr_life_context_and_constraints_chronic_condition,deeppersona_auto_extract__health_dp_health_chronic_conditions__814df2878b,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Chronic Conditions,Life Context & Constraints,attr_life_context_and_constraints__chronic_condition__37f6b2b18b,Chronic condition,Life Context & Constraints,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,3,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_health_dp_health_physical_f__attr_life_context_and_constraints_fitness_level_8ade,deeppersona_auto_extract__health_dp_health_physical_fitness__8922108190,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Physical Fitness,Life Context & Constraints,attr_life_context_and_constraints__fitness_level__8ade53802f,Fitness level,Life Context & Constraints,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,3,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_health_dp_health_chronicdig__attr_life_context_and_constraints_chronic_condition,deeppersona_auto_extract__health_dp_health_chronicdigestiveconditions__e1895c0506,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Chronic Digestive Conditions,Life Context & Constraints,attr_life_context_and_constraints__chronic_condition__37f6b2b18b,Chronic condition,Life Context & Constraints,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,3,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_lifestyle_dp_life_philosoph__attr_behavioral_patterns_and_pref_interest_philosoph,deeppersona_auto_extract__lifestyle_dp_life_philosophy_topics__9acc13d4f4,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Philosophy Topics,Behavioral Patterns & Preferences,attr_behavioral_patterns_and_pref__interest_philosophy__485ba739c4,Interest: Philosophy,Behavioral Patterns & Preferences,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,3,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_attitudes_ap_att_immigratio__attr_worldview_beliefs_and_attitu_attitude_immigrati,deeppersona_auto_extract__attitudes_ap_att_immigration_and_inequality__099a56d246,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Attitude: Immigration and inequality,"Worldview, Beliefs & Attitudes",attr_worldview_beliefs_and_attitu__attitude_immigration_and_inequality__e3b327add4,Attitude: Immigration and inequality,"Worldview, Beliefs & Attitudes",1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,3,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_attitudes_ap_att_discrimina__attr_worldview_beliefs_and_attitu_attitude_discrimin,deeppersona_auto_extract__attitudes_ap_att_discrimination_and_inequality__558e7ba22a,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Attitude: Discrimination and inequality,"Worldview, Beliefs & Attitudes",attr_worldview_beliefs_and_attitu__attitude_discrimination_and_inequality__cd91c1dc95,Attitude: Discrimination and inequality,"Worldview, Beliefs & Attitudes",1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,3,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_attitudes_ap_att_climate_ch__attr_worldview_beliefs_and_attitu_climate_change_wor,deeppersona_auto_extract__attitudes_ap_att_climate_change_worry__335b964d9e,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Climate change worry,"Worldview, Beliefs & Attitudes",attr_worldview_beliefs_and_attitu__climate_change_worry__286f734831,Climate change worry,"Worldview, Beliefs & Attitudes",1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,3,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_demographic_ap_demo_politic__attr_worldview_beliefs_and_attitu_political_party_af,deeppersona_auto_extract__demographic_ap_demo_political_party_affiliation__dfce4ad743,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Political party affiliation,"Worldview, Beliefs & Attitudes",attr_worldview_beliefs_and_attitu__political_party_affiliation__d89b3cf664,political party affiliation,"Worldview, Beliefs & Attitudes",1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,3,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_lifestyle_dp_life_media_pre__attr_behavioral_patterns_and_pref_hobbies_and_intere,deeppersona_auto_extract__lifestyle_dp_life_media_preferences__091a02bcf1,DeepPersona auto-extracted local proposal (proposed_ATTR_sourced.json),Media Preferences,Behavioral Patterns & Preferences,attr_behavioral_patterns_and_pref__hobbies_and_interests__f1a0121137,Hobbies And Interests,Behavioral Patterns & Preferences,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,2,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_lifestyle_dp_life_scientifi__attr_behavioral_patterns_and_pref_hobbies_and_intere,deeppersona_auto_extract__lifestyle_dp_life_scientific_interests__d7d908c97d,DeepPersona auto-extracted local proposal (proposed_ATTR_sourced.json),Scientific Interests,Behavioral Patterns & Preferences,attr_behavioral_patterns_and_pref__hobbies_and_interests__f1a0121137,Hobbies And Interests,Behavioral Patterns & Preferences,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,2,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_lifestyle_dp_life_travel_an__attr_behavioral_patterns_and_pref_hobbies_and_intere,deeppersona_auto_extract__lifestyle_dp_life_travel_and_exploration__75299fd531,DeepPersona auto-extracted local proposal (proposed_ATTR_sourced.json),Travel and Exploration,Behavioral Patterns & Preferences,attr_behavioral_patterns_and_pref__hobbies_and_interests__f1a0121137,Hobbies And Interests,Behavioral Patterns & Preferences,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,2,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_lifestyle_dp_life_asset_int__attr_behavioral_patterns_and_pref_hobbies_and_intere,deeppersona_auto_extract__lifestyle_dp_life_asset_interests__854905754f,DeepPersona auto-extracted local proposal (proposed_ATTR_sourced.json),Asset Interests,Behavioral Patterns & Preferences,attr_behavioral_patterns_and_pref__hobbies_and_interests__f1a0121137,Hobbies And Interests,Behavioral Patterns & Preferences,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,2,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_lifestyle_dp_life_preferred__attr_behavioral_patterns_and_pref_hobbies_and_intere,deeppersona_auto_extract__lifestyle_dp_life_preferred_activities__7658e3da09,DeepPersona auto-extracted local proposal (proposed_ATTR_sourced.json),Preferred Activities,Behavioral Patterns & Preferences,attr_behavioral_patterns_and_pref__hobbies_and_interests__f1a0121137,Hobbies And Interests,Behavioral Patterns & Preferences,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,2,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_lifestyle_dp_life_beauty_pr__attr_behavioral_patterns_and_pref_hobbies_and_intere,deeppersona_auto_extract__lifestyle_dp_life_beauty_products__868136789b,DeepPersona auto-extracted local proposal (proposed_ATTR_sourced.json),Beauty Products,Behavioral Patterns & Preferences,attr_behavioral_patterns_and_pref__hobbies_and_interests__f1a0121137,Hobbies And Interests,Behavioral Patterns & Preferences,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,2,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_lifestyle_dp_life_home_care__attr_behavioral_patterns_and_pref_hobbies_and_intere,deeppersona_auto_extract__lifestyle_dp_life_home_care__cb9da15686,DeepPersona auto-extracted local proposal (proposed_ATTR_sourced.json),Home Care,Behavioral Patterns & Preferences,attr_behavioral_patterns_and_pref__hobbies_and_interests__f1a0121137,Hobbies And Interests,Behavioral Patterns & Preferences,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,2,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_lifestyle_dp_life_participa__attr_behavioral_patterns_and_pref_hobbies_and_intere,deeppersona_auto_extract__lifestyle_dp_life_participation__e2acbd6ad3,DeepPersona auto-extracted local proposal (proposed_ATTR_sourced.json),participation,Behavioral Patterns & Preferences,attr_behavioral_patterns_and_pref__hobbies_and_interests__f1a0121137,Hobbies And Interests,Behavioral Patterns & Preferences,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,2,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_lifestyle_dp_life_dining_34__attr_behavioral_patterns_and_pref_hobbies_and_intere,deeppersona_auto_extract__lifestyle_dp_life_dining__3420e7930d,DeepPersona auto-extracted local proposal (proposed_ATTR_sourced.json),Dining,Behavioral Patterns & Preferences,attr_behavioral_patterns_and_pref__hobbies_and_interests__f1a0121137,Hobbies And Interests,Behavioral Patterns & Preferences,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,2,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_lifestyle_dp_life_innovatio__attr_behavioral_patterns_and_pref_hobbies_and_intere,deeppersona_auto_extract__lifestyle_dp_life_innovation__08c88ceae0,DeepPersona auto-extracted local proposal (proposed_ATTR_sourced.json),Innovation,Behavioral Patterns & Preferences,attr_behavioral_patterns_and_pref__hobbies_and_interests__f1a0121137,Hobbies And Interests,Behavioral Patterns & Preferences,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,2,needs_llm_mapping_adjudication
