node_id,node_type,label,category,subcategory,size,node_weight,evidence_weight,weight_basis,quality_tier,source_count
subcat::domain_specific_overlays::uncategorized_candidate,subcategory,uncategorized candidate,Domain-Specific Overlays,uncategorized candidate,618,7.0281,,log scaled number of attributes in subcategory,,
subcat::life_context_and_constraints::commute_and_labor_force_access,subcategory,commute and labor force access,Life Context & Constraints,commute and labor force access,9,2.9026,,log scaled number of attributes in subcategory,,
subcat::life_context_and_constraints::employment_work_hours_occupation_industry_and_income,subcategory,employment work hours occupation industry and income,Life Context & Constraints,employment work hours occupation industry and income,13,3.2391,,log scaled number of attributes in subcategory,,
subcat::life_context_and_constraints::health_insurance_disability_and_functional_difficulty,subcategory,health insurance disability and functional difficulty,Life Context & Constraints,health insurance disability and functional difficulty,17,3.4904,,log scaled number of attributes in subcategory,,
subcat::life_context_and_constraints::housing_tenure_quality_costs_and_material_resources,subcategory,housing tenure quality costs and material resources,Life Context & Constraints,housing tenure quality costs and material resources,23,3.7781,,log scaled number of attributes in subcategory,,
subcat::life_context_and_constraints::life_context_and_constraints,subcategory,life context and constraints,Life Context & Constraints,life context and constraints,1757,8.0719,,log scaled number of attributes in subcategory,,
subcat::life_context_and_constraints::migration_military_and_place_of_work,subcategory,migration military and place of work,Life Context & Constraints,migration military and place of work,6,2.5459,,log scaled number of attributes in subcategory,,
subcat::life_context_and_constraints::poverty_public_assistance_and_retirement_income,subcategory,poverty public assistance and retirement income,Life Context & Constraints,poverty public assistance and retirement income,6,2.5459,,log scaled number of attributes in subcategory,,
subcat::life_context_and_constraints::technology_and_communication_access,subcategory,technology and communication access,Life Context & Constraints,technology and communication access,8,2.7972,,log scaled number of attributes in subcategory,,
subcat::narrative_identity_and_life_history::narrative_identity_and_life_history,subcategory,narrative identity and life history,Narrative Identity & Life History,narrative identity and life history,7,2.6794,,log scaled number of attributes in subcategory,,
subcat::narrative_identity_and_life_history::persona_narrative_summary,subcategory,persona narrative summary,Narrative Identity & Life History,persona narrative summary,1,1.2931,,log scaled number of attributes in subcategory,,
subcat::narrative_identity_and_life_history::personal_identity_and_life_narratives,subcategory,personal identity and life narratives,Narrative Identity & Life History,personal identity and life narratives,10,2.9979,,log scaled number of attributes in subcategory,,
subcat::narrative_identity_and_life_history::profile_narrative_text,subcategory,profile narrative text,Narrative Identity & Life History,profile narrative text,1,1.2931,,log scaled number of attributes in subcategory,,
subcat::personality_traits::bfi_2_domains,subcategory,bfi 2 domains,Personality Traits,bfi 2 domains,5,2.3918,,log scaled number of attributes in subcategory,,
subcat::personality_traits::bfi_2_facets,subcategory,bfi 2 facets,Personality Traits,bfi 2 facets,14,3.3081,,log scaled number of attributes in subcategory,,
subcat::personality_traits::big_five_personality_traits,subcategory,big five personality traits,Personality Traits,big five personality traits,29,4.0012,,log scaled number of attributes in subcategory,,
subcat::personality_traits::facet_map_personality_facets,subcategory,facet map personality facets,Personality Traits,facet map personality facets,63,4.7589,,log scaled number of attributes in subcategory,,
subcat::personality_traits::hexaco_domains,subcategory,hexaco domains,Personality Traits,hexaco domains,3,1.9863,,log scaled number of attributes in subcategory,,
subcat::personality_traits::hexaco_facets,subcategory,hexaco facets,Personality Traits,hexaco facets,21,3.691,,log scaled number of attributes in subcategory,,
subcat::personality_traits::ipip_personality_items,subcategory,ipip personality items,Personality Traits,ipip personality items,3313,8.7059,,log scaled number of attributes in subcategory,,
subcat::personality_traits::ipip_personality_scales,subcategory,ipip personality scales,Personality Traits,ipip personality scales,201,5.9083,,log scaled number of attributes in subcategory,,
subcat::personality_traits::mbti_style_personality_label,subcategory,mbti style personality label,Personality Traits,mbti style personality label,1,1.2931,,log scaled number of attributes in subcategory,,
subcat::personality_traits::personality_traits,subcategory,personality traits,Personality Traits,personality traits,16,3.4332,,log scaled number of attributes in subcategory,,
subcat::personality_traits::risk_orientation_and_sensation_seeking,subcategory,risk orientation and sensation seeking,Personality Traits,risk orientation and sensation seeking,4,2.2094,,log scaled number of attributes in subcategory,,
subcat::social_identity_relationships_and_community::family_relationship_marital_status_fertility_and_caregiving,subcategory,family relationship marital status fertility and caregiving,"Social Identity, Relationships & Community",family relationship marital status fertility and caregiving,10,2.9979,,log scaled number of attributes in subcategory,,
subcat::social_identity_relationships_and_community::social_identity_relationships_and_community,subcategory,social identity relationships and community,"Social Identity, Relationships & Community",social identity relationships and community,219,5.9936,,log scaled number of attributes in subcategory,,
subcat::values_goals_and_motivations::personal_values_and_motivations,subcategory,personal values and motivations,"Values, Goals & Motivations",personal values and motivations,21,3.691,,log scaled number of attributes in subcategory,,
subcat::values_goals_and_motivations::schwartz_values,subcategory,schwartz values,"Values, Goals & Motivations",schwartz values,10,2.9979,,log scaled number of attributes in subcategory,,
subcat::values_goals_and_motivations::self_determination_needs,subcategory,self determination needs,"Values, Goals & Motivations",self determination needs,3,1.9863,,log scaled number of attributes in subcategory,,
subcat::values_goals_and_motivations::values_goals_and_motivations,subcategory,values goals and motivations,"Values, Goals & Motivations",values goals and motivations,208,5.9423,,log scaled number of attributes in subcategory,,
subcat::worldview_beliefs_and_attitudes::primal_world_beliefs,subcategory,primal world beliefs,"Worldview, Beliefs & Attitudes",primal world beliefs,18,3.5444,,log scaled number of attributes in subcategory,,
subcat::worldview_beliefs_and_attitudes::religiosity_and_spiritual_beliefs,subcategory,religiosity and spiritual beliefs,"Worldview, Beliefs & Attitudes",religiosity and spiritual beliefs,207,5.9375,,log scaled number of attributes in subcategory,,
subcat::worldview_beliefs_and_attitudes::risk_attitudes,subcategory,risk attitudes,"Worldview, Beliefs & Attitudes",risk attitudes,1,1.2931,,log scaled number of attributes in subcategory,,
subcat::worldview_beliefs_and_attitudes::social_and_institutional_trust,subcategory,social and institutional trust,"Worldview, Beliefs & Attitudes",social and institutional trust,85,5.0543,,log scaled number of attributes in subcategory,,
subcat::worldview_beliefs_and_attitudes::sociodemographic_attitudes,subcategory,sociodemographic attitudes,"Worldview, Beliefs & Attitudes",sociodemographic attitudes,4,2.2094,,log scaled number of attributes in subcategory,,
subcat::worldview_beliefs_and_attitudes::worldview_beliefs_and_attitudes,subcategory,worldview beliefs and attitudes,"Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,811,7.2995,,log scaled number of attributes in subcategory,,
attr_behavioral_patterns_and_pref__accused_of_crime__2c6fe2df69,attribute,accused of crime,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__agree_sports_makes_me_proud_to_be_an_american__acbfe0df87,attribute,agree sports makes me proud to be an american,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__alcohol_use__e73c5fdff0,attribute,Alcohol use,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__attended_sports_event_in_lst_yr__30281c923b,attribute,attended sports event in lst yr,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__attended_with_spouse_or_partner__c302a39343,attribute,attended with spouse or partner,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__big_group_vs_one_on_one__01ce1787d5,attribute,Big group vs one-on-one,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__books_travel_writing__3783119bd1,attribute,Books: Travel writing,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__brief_vs_full_detail__0eaf1b4c8c,attribute,Brief vs full detail,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__can_r_give_the_name_of_a_web_browser__ccf38f89e0,attribute,can r give the name of a web browser,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__car_trip_in_the_past_12_months__7568a6392d,attribute,car trip in the past 12 months,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__choice_what_to_do_in_life_important_for_freedom__1e192166a6,attribute,choice what to do in life important for freedom,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__competition_vs_collaboration__837952010b,attribute,Competition vs collaboration,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__control_r_feels_over_own_life__e4495d39a4,attribute,control r feels over own life,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__cooking_frequency__d1c44c7cdf,attribute,Cooking frequency,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_american_bbq__1d4d2a6897,attribute,Cuisine: American BBQ,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_brazilian__c3e740420e,attribute,Cuisine: Brazilian,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_cajun__3f13e57a55,attribute,Cuisine: Cajun,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_cantonese__85ea7c25a6,attribute,Cuisine: Cantonese,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_caribbean__a469da38c6,attribute,Cuisine: Caribbean,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_chinese__fc918b4ba9,attribute,Cuisine: Chinese,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_ethiopian__d170c4dc9d,attribute,Cuisine: Ethiopian,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_french__e5dcdd92d0,attribute,Cuisine: French,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_german__0de5220822,attribute,Cuisine: German,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_greek__507176b47f,attribute,Cuisine: Greek,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_indian__aff6fe27c5,attribute,Cuisine: Indian,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_italian__2a54de3d58,attribute,Cuisine: Italian,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_japanese__d8ee19ba27,attribute,Cuisine: Japanese,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_korean__7404d01c2a,attribute,Cuisine: Korean,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_lebanese__ed587cd77c,attribute,Cuisine: Lebanese,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_mexican__49a7a7d569,attribute,Cuisine: Mexican,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_middle_eastern__ae9623c65b,attribute,Cuisine: Middle Eastern,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_moroccan__c2f4b81283,attribute,Cuisine: Moroccan,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_nigerian__7d84b9b6b9,attribute,Cuisine: Nigerian,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_pakistani__46c7f10d8b,attribute,Cuisine: Pakistani,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_peruvian__afc54e0bf6,attribute,Cuisine: Peruvian,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_ramen__5e9893d11b,attribute,Cuisine: Ramen,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_russian__08e7182429,attribute,Cuisine: Russian,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_scandinavian__1292d39a06,attribute,Cuisine: Scandinavian,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_seafood__2379799ebe,attribute,Cuisine: Seafood,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_sichuan__c16f70696e,attribute,Cuisine: Sichuan,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_southern_soul_food__1561078ae4,attribute,Cuisine: Southern soul food,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_spanish__91aa9bef70,attribute,Cuisine: Spanish,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_spanish_tapas__f74403ba60,attribute,Cuisine: Spanish tapas,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_sushi__5a3784c85d,attribute,Cuisine: Sushi,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_thai__8b950f26dc,attribute,Cuisine: Thai,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_turkish__d5543ac2b7,attribute,Cuisine: Turkish,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_vegan__88cb6dcb51,attribute,Cuisine: Vegan,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_vegetarian__72e880f73f,attribute,Cuisine: Vegetarian,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__cuisine_vietnamese__5b0d81c0b5,attribute,Cuisine: Vietnamese,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__death_of_spouse_or_partner__f477883983,attribute,death of spouse or partner,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__did_not_go_because_couldn_t_find_anyone_to_go_with__813922e951,attribute,did not go because couldn't find anyone to go with,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__did_not_go_because_too_dificult_to_get_there__b0c35a5ec7,attribute,did not go because too dificult to get there,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__did_not_go_since_not_of_interest__48f25b4504,attribute,did not go since not of interest,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__do_you_consider_yourself_more_of_an_introvert_or_extro__87417e043a,attribute,Do you consider yourself more of an introvert or extrovert?,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__do_you_prefer_to_plan_ahead_or_act_spontaneously_in_mo__425c07e632,attribute,Do you prefer to plan ahead or act spontaneously in most areas of your life?,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__do_you_tend_to_adapt_your_behavior_depending_on_who_yo__49bb6b64e2,attribute,Do you tend to adapt your behavior depending on who you’re with?,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__does_r_have_telephone__6c5cb522a5,attribute,does r have telephone,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__does_r_know_what_a_computer_virus_is__7c96fe7f38,attribute,does r know what a computer virus is,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__does_r_or_spouse_hunt__1ce14cf439,attribute,does r or spouse hunt,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__early_vs_late_adopter__5d57087704,attribute,Early vs late adopter,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__emoji_emoticon_use__4c9c6db282,attribute,Emoji / emoticon use,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__exercise_frequency__a62b1f5395,attribute,Exercise frequency,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__film_art_house__29604eb109,attribute,Film: Art house,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__gaming_frequency__3dadc20383,attribute,Gaming frequency,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__have_you_purchased_a_used_car_past_5_yrs__ef481b7412,attribute,have you purchased a used car past 5 yrs?,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__having_serious_trouble_with_spouse__7efee661e6,attribute,having serious trouble with spouse,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__hobby_intensity__4c68863806,attribute,Hobby intensity,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__hours_per_day_listening_to_radio__9e1abd5386,attribute,hours per day listening to radio,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__hours_per_day_watching_tv__8d6c62def4,attribute,hours per day watching tv,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_comfortable_are_you_in_new_social_situations__6687fe84d3,attribute,How comfortable are you in new social situations?,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__how_do_you_feel_when_others_recognize_your_achievement__5bad0be240,attribute,How do you feel when others recognize your achievements?,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__how_do_you_spend_your_time_away_from_work_or_routine_d__6577ae6a2d,attribute,How do you spend your time away from work or routine day to day tasks?,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__how_do_you_stay_motivated_when_things_don_t_go_as_plan__ba4e4fffeb,attribute,How do you stay motivated when things don’t go as planned?,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__how_do_you_usually_connect_with_new_people__b1eba6dc5c,attribute,How do you usually connect with new people?,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__how_do_you_usually_spend_your_weekends__6d4496597a,attribute,How do you usually spend your weekends?,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_behavioral_patterns_and_pref__how_familiar_r_is_with_term_advanced_search__fa02c6ac2e,attribute,how familiar r is with term advanced search,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_many_friends_discuss_problems_via_email__f2c2de6a3e,attribute,how many friends discuss problems via email,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_behavioral_patterns_and_pref__how_often_do_you_socialize_with_others_online_or_in_pe__4fdbec8d10,attribute,How often do you socialize with others (online or in person)?,Behavioral Patterns & Preferences,behavioral patterns and preferences,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
